SRR1298742.3056	IGHD3-22 28 2 
SRR1298742.4870	IGHD2-2 24 0 
SRR1298742.8410	IGHD3-22 28 2 
SRR1298742.6752	IGHD3-22 28 2 
SRR1298742.3855	IGHD3-22 13 0 
SRR1298742.7490	IGHD3-22 28 2 
SRR1298742.1339	IGHD3-22 28 2 
SRR1298742.2937	IGHD3-22 13 0 
SRR1298742.1085	IGHD2-2 24 0 
SRR1298742.5298	IGHD6-13 13 0 
SRR1298742.90	IGHD3-22 28 2 
SRR1298742.5371	IGHD3-22 13 0 
SRR1298742.2585	IGHD3-22 28 2 
SRR1298742.4093	IGHD3-22 13 0 
SRR1298742.9085	IGHD2-2 24 0 
SRR1298742.3594	IGHD6-13 13 0 
SRR1298742.4545	IGHD2-2 24 0 
SRR1298742.7918	IGHD3-22 28 2 
SRR1298742.708	IGHD3-22 28 2 
SRR1298742.1398	IGHD6-13 13 0 
SRR1298742.7587	IGHD2-2 24 0 
SRR1298742.5277	IGHD6-13 13 0 
SRR1298742.7786	IGHD1-1 17 0 IGHD1-20/1-7 17 1 
SRR1298742.2373	IGHD6-13 13 0 
SRR1298742.2205	IGHD3-22 28 2 
SRR1298742.2133	IGHD3-22 28 2 
SRR1298742.4319	IGHD3-22 13 0 
SRR1298742.1443	IGHD3-22 13 0 
SRR1298742.319	IGHD3-22 13 0 
SRR1298742.3097	IGHD6-13 13 0 
SRR1298742.212	IGHD2-2 24 0 
SRR1298742.5194	IGHD3-22 28 2 
SRR1298742.8450	IGHD2-2 24 0 
SRR1298742.2273	IGHD2-2 24 0 
SRR1298742.384	IGHD3-22 13 0 
SRR1298742.6600	IGHD6-13 13 0 
SRR1298742.5742	IGHD6-13 13 0 
SRR1298742.1560	IGHD2-2 24 0 
SRR1298742.605	IGHD3-22 13 0 
SRR1298742.985	IGHD3-22 28 2 
SRR1298742.7992	IGHD2-2 24 0 
SRR1298742.5648	IGHD2-2 24 0 
SRR1298742.1593	IGHD3-22 13 0 
SRR1298742.8391	IGHD3-22 13 0 
SRR1298742.999	IGHD6-13 13 0 
SRR1298742.7430	IGHD2-2 24 0 
SRR1298742.5961	IGHD2-2 24 0 
SRR1298742.5167	IGHD3-22 28 2 
SRR1298742.9033	IGHD3-22 13 0 
SRR1298742.6604	IGHD2-2 24 0 
SRR1298742.2284	IGHD2-2 24 0 
SRR1298742.3060	IGHD2-2 24 0 
SRR1298742.3361	IGHD3-22 13 0 
SRR1298742.8166	IGHD1-20/1-7 15 0 
SRR1298742.4937	IGHD6-13 13 0 
SRR1298742.397	IGHD3-22 28 2 
SRR1298742.3345	IGHD6-13 13 0 
SRR1298742.1666	IGHD6-13 13 0 
SRR1298742.5733	IGHD6-13 13 0 
SRR1298742.4869	IGHD3-22 13 0 
SRR1298742.9430	IGHD2-2 24 0 
SRR1298742.7515	IGHD2-2 24 0 
SRR1298742.6753	IGHD3-22 13 0 
SRR1298742.2382	IGHD3-22 28 2 
SRR1298742.6013	IGHD6-13 13 0 
SRR1298742.1553	IGHD6-13 13 0 
SRR1298742.7356	IGHD6-13 13 0 
SRR1298742.5248	IGHD3-22 13 0 
SRR1298742.302	IGHD6-13 13 0 
SRR1298742.7616	IGHD2-2 24 1 
SRR1298742.2228	IGHD6-13 13 0 
SRR1298742.189	IGHD2-2 22 0 
SRR1298742.927	IGHD6-13 13 0 
SRR1298742.2497	IGHD6-13 13 0 
SRR1298742.2711	IGHD2-2 24 0 
SRR1298742.6855	IGHD2-2 24 0 
SRR1298742.3445	IGHD3-22 28 2 
SRR1298742.2063	IGHD3-22 28 2 
SRR1298742.5301	IGHD3-22 13 0 
SRR1298742.6838	IGHD2-2 24 0 
SRR1298742.5948	IGHD3-22 28 2 
SRR1298742.2908	IGHD3-22 28 2 
SRR1298742.6432	IGHD6-13 13 0 
SRR1298742.3400	IGHD6-13 13 0 
SRR1298742.4356	IGHD3-22 13 0 
SRR1298742.5671	IGHD3-22 28 2 
SRR1298742.848	IGHD3-22 13 0 
SRR1298742.9250	IGHD6-13 13 0 
SRR1298742.1843	IGHD2-2 24 0 
SRR1298742.5931	IGHD6-13 13 0 
SRR1298742.1001	IGHD3-22 13 0 
SRR1298742.1097	IGHD6-13 13 0 
SRR1298742.7987	IGHD3-22 13 0 
SRR1298742.8814	IGHD2-2 24 0 
SRR1298742.7399	IGHD2-2 24 0 
SRR1298742.1094	IGHD6-13 13 0 
SRR1298742.8070	IGHD3-22 28 2 
SRR1298742.3922	IGHD3-22 13 0 
SRR1298742.2890	IGHD6-13 13 0 
SRR1298742.8455	IGHD3-22 28 2 
SRR1298742.2891	IGHD2-2 24 1 
SRR1298742.159	IGHD6-13 13 0 
SRR1298742.2069	IGHD3-22 13 0 
SRR1298742.7601	IGHD2-2 24 0 
SRR1298742.9069	IGHD2-2 24 0 
SRR1298742.1750	IGHD6-13 13 0 
SRR1298742.1238	IGHD3-22 28 2 
SRR1298742.8491	IGHD2-2 22 0 
SRR1298742.5146	IGHD3-22 13 0 
SRR1298742.3169	IGHD3-22 28 2 
SRR1298742.9289	IGHD2-2 24 0 
SRR1298742.6169	IGHD2-2 24 0 
SRR1298742.2536	IGHD3-22 28 2 
SRR1298742.7329	IGHD3-22 28 2 
SRR1298742.8961	IGHD2-2 24 0 
SRR1298742.2444	IGHD6-13 13 0 
SRR1298742.3218	IGHD2-2 24 0 
SRR1298742.5287	IGHD3-22 28 2 
SRR1298742.9378	IGHD2-2 24 0 
SRR1298742.4798	IGHD3-22 28 2 
SRR1298742.2764	IGHD6-13 13 0 
SRR1298742.4533	IGHD1-1 17 0 IGHD1-20/1-7 17 1 
SRR1298742.8044	IGHD6-13 13 0 
SRR1298742.4635	IGHD3-22 13 0 
SRR1298742.7074	IGHD3-22 28 2 
SRR1298742.6152	IGHD3-22 13 0 
SRR1298742.1113	IGHD3-22 28 2 
SRR1298742.7225	IGHD2-2 24 0 
SRR1298742.9252	IGHD3-22 13 0 
SRR1298742.1066	IGHD3-22 13 0 
SRR1298742.7845	IGHD2-2 24 1 
SRR1298742.3018	IGHD2-2 24 0 
SRR1298742.7929	IGHD3-22 28 2 
SRR1298742.448	IGHD6-13 13 0 
SRR1298742.4697	IGHD2-2 24 0 
SRR1298742.3698	IGHD6-13 13 0 
SRR1298742.2399	IGHD3-22 28 2 
SRR1298742.8574	IGHD2-2 24 0 
SRR1298742.4616	IGHD6-13 13 0 
SRR1298742.8123	IGHD2-2 24 0 
SRR1298742.2154	IGHD3-22 13 0 
SRR1298742.7612	IGHD2-2 24 0 
SRR1298742.1551	IGHD2-2 22 0 
SRR1298742.2766	IGHD3-22 28 2 
SRR1298742.6805	IGHD6-13 13 0 
SRR1298742.1494	IGHD6-13 13 0 
SRR1298742.6341	IGHD2-2 24 0 
SRR1298742.330	IGHD3-22 28 2 
SRR1298742.772	IGHD3-22 13 0 
SRR1298742.3452	IGHD3-22 13 0 
SRR1298742.2880	IGHD2-2 24 0 
SRR1298742.6941	IGHD3-22 28 2 
SRR1298742.529	IGHD6-13 13 0 
SRR1298742.5903	IGHD3-22 13 0 
SRR1298742.5396	IGHD6-13 13 0 
SRR1298742.6513	IGHD2-2 24 0 
SRR1298742.8074	IGHD2-2 24 1 
SRR1298742.5467	IGHD2-2 24 0 
SRR1298742.4376	IGHD3-22 13 0 
SRR1298742.2626	IGHD6-13 13 0 
SRR1298742.6285	IGHD3-22 28 2 
SRR1298742.2005	IGHD2-2 24 0 
SRR1298742.3741	IGHD3-22 13 0 
SRR1298742.4917	IGHD2-2 22 0 
SRR1298742.2605	IGHD3-22 28 2 
SRR1298742.4814	IGHD3-22 13 0 
SRR1298742.8502	IGHD6-13 13 0 
SRR1298742.610	IGHD3-22 13 0 
SRR1298742.2648	IGHD3-22 28 2 
SRR1298742.5106	IGHD2-2 24 0 
SRR1298742.2239	IGHD6-13 13 0 
SRR1298742.5628	IGHD6-13 13 0 
SRR1298742.5804	IGHD3-22 28 2 
SRR1298742.5290	IGHD6-13 13 0 
SRR1298742.8837	IGHD3-22 28 2 
SRR1298742.248	IGHD3-22 28 2 
SRR1298742.1836	IGHD3-22 28 2 
SRR1298742.4157	IGHD3-22 13 0 
SRR1298742.9295	IGHD2-2 24 0 
SRR1298742.6556	IGHD2-2 24 0 
SRR1298742.6286	IGHD3-22 28 2 
SRR1298742.5996	IGHD2-2 24 0 
SRR1298742.3110	IGHD3-22 28 2 
SRR1298742.6658	IGHD2-2 24 0 
SRR1298742.5750	IGHD6-13 13 0 
SRR1298742.5614	IGHD2-2 24 0 
SRR1298742.300	IGHD6-13 13 0 
SRR1298742.241	IGHD3-22 13 0 
SRR1298742.4213	IGHD6-13 13 0 
SRR1298742.39	IGHD2-2 22 0 
SRR1298742.1119	IGHD6-13 13 0 
SRR1298742.5131	IGHD3-22 28 2 
SRR1298742.2828	IGHD3-22 28 2 
SRR1298742.3092	IGHD3-22 13 0 
SRR1298742.8784	IGHD3-22 28 2 
SRR1298742.7965	IGHD2-2 24 0 
SRR1298742.7797	IGHD2-2 24 0 
SRR1298742.2368	IGHD6-13 13 0 
SRR1298742.6	IGHD6-13 13 0 
SRR1298742.8824	IGHD2-2 24 0 
SRR1298742.9271	IGHD3-22 13 0 
SRR1298742.1961	IGHD6-13 13 0 
SRR1298742.8712	IGHD3-22 28 2 
SRR1298742.3729	IGHD6-13 13 0 
SRR1298742.4137	IGHD2-2 22 0 
SRR1298742.2318	IGHD6-13 13 0 
SRR1298742.8346	IGHD3-22 28 2 
SRR1298742.4011	IGHD2-2 24 0 
SRR1298742.9147	IGHD2-2 24 0 
SRR1298742.226	IGHD3-22 28 2 
SRR1298742.2521	IGHD3-22 28 2 
SRR1298742.5044	IGHD2-2 24 0 
SRR1298742.2782	IGHD3-22 13 0 
SRR1298742.4067	IGHD6-13 13 0 
SRR1298742.4861	IGHD2-2 24 0 
SRR1298742.627	IGHD3-22 13 0 
SRR1298742.6502	IGHD3-22 28 2 
SRR1298742.9251	IGHD2-2 24 0 
SRR1298742.8087	IGHD2-2 22 0 
SRR1298742.7188	IGHD6-13 13 0 
SRR1298742.1851	IGHD6-13 13 0 
SRR1298742.6104	IGHD3-22 28 2 
SRR1298742.9226	IGHD6-13 13 0 
SRR1298742.8728	IGHD6-13 13 0 
SRR1298742.2806	IGHD6-13 13 0 
SRR1298742.442	IGHD3-22 13 0 
SRR1298742.3410	IGHD2-2 24 0 
SRR1298742.3351	IGHD2-2 24 0 
SRR1298742.4332	IGHD3-22 13 0 
SRR1298742.4702	IGHD2-2 24 0 
SRR1298742.8930	IGHD3-22 28 2 
SRR1298742.4434	IGHD2-2 24 1 
SRR1298742.8231	IGHD3-22 13 0 
SRR1298742.9123	IGHD6-13 13 0 
SRR1298742.7861	IGHD2-2 24 0 
SRR1298742.6293	IGHD3-22 28 3 
SRR1298742.2955	IGHD6-13 13 0 
SRR1298742.3952	IGHD3-22 28 2 
SRR1298742.7750	IGHD2-2 24 1 
SRR1298742.952	IGHD3-22 28 2 
SRR1298742.5318	IGHD3-22 13 0 
SRR1298742.239	IGHD3-22 13 0 
SRR1298742.7037	IGHD6-13 13 0 
SRR1298742.9174	IGHD3-22 13 0 
SRR1298742.4144	IGHD2-2 24 0 
SRR1298742.3262	IGHD6-13 13 0 
SRR1298742.8625	IGHD2-2 24 0 
SRR1298742.2253	IGHD3-22 13 0 
SRR1298742.7850	IGHD2-2 22 0 
SRR1298742.2446	IGHD3-22 28 2 
SRR1298742.8309	IGHD2-2 24 0 
SRR1298742.1077	IGHD6-13 13 0 
SRR1298742.7614	IGHD3-22 28 3 
SRR1298742.669	IGHD3-22 13 0 
SRR1298742.1775	IGHD3-22 13 0 
SRR1298742.597	IGHD6-13 13 0 
SRR1298742.3253	IGHD6-13 13 0 
SRR1298742.3497	IGHD3-22 16 0 
SRR1298742.1777	IGHD3-22 13 0 
SRR1298742.2400	IGHD6-13 13 0 
SRR1298742.7060	IGHD6-13 13 0 
SRR1298742.2169	IGHD3-22 28 2 
SRR1298742.6560	IGHD2-2 24 0 
SRR1298742.6036	IGHD6-13 13 0 
SRR1298742.6206	IGHD6-13 13 0 
SRR1298742.9055	IGHD2-2 24 0 
SRR1298742.9200	IGHD3-22 28 2 
SRR1298742.4409	IGHD6-13 13 0 
SRR1298742.8280	IGHD2-2 24 0 
SRR1298742.4505	IGHD3-22 28 2 
SRR1298742.4620	IGHD6-13 13 0 
SRR1298742.3334	IGHD2-2 24 0 
SRR1298742.1930	IGHD3-22 28 2 
SRR1298742.6763	IGHD2-2 24 0 
SRR1298742.8462	IGHD6-13 13 0 
SRR1298742.4115	IGHD2-2 24 0 
SRR1298742.6318	IGHD2-2 24 0 
SRR1298742.6618	IGHD3-22 28 2 
SRR1298742.8190	IGHD3-22 13 0 
SRR1298742.908	IGHD6-13 13 0 
SRR1298742.8092	IGHD2-2 24 0 
SRR1298742.6109	IGHD6-13 13 0 
SRR1298742.386	IGHD3-22 13 0 
SRR1298742.9013	IGHD3-22 28 2 
SRR1298742.3781	IGHD6-13 13 0 
SRR1298742.1722	IGHD3-22 13 0 
SRR1298742.1681	IGHD3-22 28 2 
SRR1298742.608	IGHD6-13 13 0 
SRR1298742.36	IGHD3-22 13 0 
SRR1298742.7398	IGHD1-1 17 0 IGHD1-20/1-7 17 1 
SRR1298742.4586	IGHD3-22 28 2 
SRR1298742.130	IGHD3-22 13 0 
SRR1298742.761	IGHD2-2 22 0 
SRR1298742.6147	IGHD6-13 13 0 
SRR1298742.6538	IGHD6-13 13 0 
SRR1298742.5165	IGHD6-13 13 0 
SRR1298742.3595	IGHD6-13 13 0 
SRR1298742.8492	IGHD3-22 13 0 
SRR1298742.1177	IGHD2-2 24 0 
SRR1298742.1175	IGHD2-2 24 0 
SRR1298742.5595	IGHD6-13 13 0 
SRR1298742.1680	IGHD3-22 28 2 
SRR1298742.4222	IGHD3-22 28 2 
SRR1298742.7737	IGHD2-2 20 0 
SRR1298742.1199	IGHD6-13 13 0 
SRR1298742.82	IGHD3-22 13 0 
SRR1298742.6347	IGHD3-22 13 0 
SRR1298742.4851	IGHD2-2 22 0 
SRR1298742.5119	IGHD3-22 13 0 
SRR1298742.8389	IGHD3-22 28 2 
SRR1298742.1049	IGHD6-13 13 0 
SRR1298742.892	IGHD6-13 13 0 
SRR1298742.4313	IGHD3-22 28 2 
SRR1298742.4557	IGHD6-13 13 0 
SRR1298742.1797	IGHD3-22 28 2 
SRR1298742.7429	IGHD2-2 24 0 
SRR1298742.5154	IGHD2-2 22 0 
SRR1298742.7230	IGHD2-2 24 0 
SRR1298742.1195	IGHD6-13 13 0 
SRR1298742.1302	IGHD2-2 24 0 
SRR1298742.4585	IGHD3-22 28 2 
SRR1298742.6985	IGHD2-2 24 0 
SRR1298742.1138	IGHD6-13 13 0 
SRR1298742.727	IGHD6-13 13 0 
SRR1298742.3286	IGHD3-22 28 2 
SRR1298742.3832	IGHD3-22 28 2 
SRR1298742.2122	IGHD3-22 28 2 
SRR1298742.5598	IGHD2-2 24 0 
SRR1298742.7019	IGHD2-2 24 0 
SRR1298742.6078	IGHD3-22 16 0 
SRR1298742.2430	IGHD3-22 16 0 
SRR1298742.2361	IGHD6-13 13 0 
SRR1298742.6185	IGHD2-2 24 0 
SRR1298742.7175	IGHD3-22 13 0 
SRR1298742.6433	IGHD2-2 24 0 
SRR1298742.8496	IGHD2-2 24 0 
SRR1298742.8659	IGHD3-22 13 0 
SRR1298742.7812	IGHD2-2 24 0 
SRR1298742.2338	IGHD3-22 13 0 
SRR1298742.6413	IGHD2-2 24 0 
SRR1298742.6677	IGHD2-2 24 0 
SRR1298742.6365	IGHD3-22 16 0 
SRR1298742.170	IGHD3-22 13 0 
SRR1298742.3687	IGHD3-22 13 0 
SRR1298742.2965	IGHD3-22 13 0 
SRR1298742.6833	IGHD3-22 13 0 
SRR1298742.6429	IGHD6-13 13 0 
SRR1298742.9449	IGHD6-13 13 0 
SRR1298742.8682	IGHD2-2 24 0 
SRR1298742.2018	IGHD2-2 24 0 
SRR1298742.1210	IGHD6-13 13 0 
SRR1298742.7636	IGHD6-13 13 0 
SRR1298742.1703	IGHD6-13 13 0 
SRR1298742.6399	IGHD2-2 24 0 
SRR1298742.4712	IGHD2-2 24 0 
SRR1298742.6956	IGHD3-22 13 0 
SRR1298742.6139	IGHD2-2 24 1 
SRR1298742.8972	IGHD2-2 24 0 
SRR1298742.3527	IGHD6-13 13 0 
SRR1298742.7461	IGHD2-2 24 0 
SRR1298742.1364	IGHD3-22 28 2 
SRR1298742.9255	IGHD2-2 24 0 
SRR1298742.2938	IGHD3-22 13 0 
SRR1298742.5156	IGHD2-2 24 0 
SRR1298742.2247	IGHD3-22 13 0 
SRR1298742.9318	IGHD2-2 24 0 
SRR1298742.3395	IGHD3-22 13 0 
SRR1298742.1665	IGHD3-22 28 2 
SRR1298742.865	IGHD3-22 13 0 
SRR1298742.7483	IGHD6-13 13 0 
SRR1298742.891	IGHD2-2 24 0 
SRR1298742.477	IGHD6-13 13 0 
SRR1298742.4506	IGHD6-13 13 0 
SRR1298742.4813	IGHD3-3 16 0 
SRR1298742.777	IGHD3-22 13 0 
SRR1298742.8265	IGHD3-22 28 2 
SRR1298742.2110	IGHD3-22 13 0 
SRR1298742.4460	IGHD6-13 13 0 
SRR1298742.8290	IGHD2-2 24 0 
SRR1298742.9441	IGHD6-13 13 0 
SRR1298742.6741	IGHD2-2 24 0 
SRR1298742.6108	IGHD3-22 28 2 
SRR1298742.107	IGHD3-22 13 0 
SRR1298742.3008	IGHD3-22 28 2 
SRR1298742.7704	IGHD3-22 28 2 
SRR1298742.7482	IGHD3-22 28 2 
SRR1298742.1743	IGHD3-22 13 0 
SRR1298742.1320	IGHD3-22 28 2 
SRR1298742.7267	IGHD2-2 24 0 
SRR1298742.6101	IGHD3-22 13 0 
SRR1298742.2678	IGHD3-22 13 0 
SRR1298742.1739	IGHD3-22 13 0 
SRR1298742.7695	IGHD2-2 24 0 
SRR1298742.423	IGHD3-22 13 0 
SRR1298742.6128	IGHD3-22 28 2 
SRR1298742.3184	IGHD2-2 24 0 
SRR1298742.1999	IGHD6-13 13 0 
SRR1298742.1221	IGHD3-22 28 2 
SRR1298742.3673	IGHD6-13 13 0 
SRR1298742.881	IGHD6-13 13 0 
SRR1298742.1706	IGHD3-22 13 0 
SRR1298742.3249	IGHD3-22 13 0 
SRR1298742.1460	IGHD2-2 24 0 
SRR1298742.9229	IGHD2-2 24 1 
SRR1298742.2736	IGHD6-13 13 0 
SRR1298742.1275	IGHD6-13 13 0 
SRR1298742.2835	IGHD6-13 13 0 
SRR1298742.4983	IGHD6-13 13 0 
SRR1298742.7663	IGHD2-2 24 0 
SRR1298742.2739	IGHD3-22 13 0 
SRR1298742.3466	IGHD2-2 24 0 
SRR1298742.6617	IGHD3-22 28 2 
SRR1298742.6884	IGHD3-22 13 0 
SRR1298742.7211	IGHD2-2 24 0 
SRR1298742.1060	IGHD3-22 13 0 
SRR1298742.4701	IGHD3-22 28 2 
SRR1298742.5081	IGHD2-15 18 1 
SRR1298742.7510	IGHD3-22 13 0 
SRR1298742.2548	IGHD2-2 24 0 
SRR1298742.2292	IGHD2-2 24 0 
SRR1298742.253	IGHD3-22 13 0 
SRR1298742.569	IGHD3-22 13 0 
SRR1298742.4757	IGHD6-13 13 0 
SRR1298742.4304	IGHD6-13 13 0 
SRR1298742.7226	IGHD2-2 24 0 
SRR1298742.7	IGHD3-22 28 2 
SRR1298742.9121	IGHD2-2 24 0 
SRR1298742.7957	IGHD3-22 28 2 
SRR1298742.3823	IGHD2-2 24 0 
SRR1298742.7136	IGHD3-22 13 0 
SRR1298742.2686	IGHD6-13 13 0 
SRR1298742.9377	IGHD2-2 24 0 
SRR1298742.9359	IGHD6-13 13 0 
SRR1298742.1360	IGHD3-22 28 2 
SRR1298742.8677	IGHD2-2 24 0 
SRR1298742.3791	IGHD3-22 28 2 
SRR1298742.7311	IGHD6-13 13 0 
SRR1298742.8688	IGHD2-2 24 0 
SRR1298742.3298	IGHD3-22 28 2 
SRR1298742.3692	IGHD6-13 13 0 
SRR1298742.7674	IGHD2-2 24 0 
SRR1298742.251	IGHD6-13 13 0 
SRR1298742.7196	IGHD3-22 21 1 
SRR1298742.4693	IGHD2-2 24 0 
SRR1298742.1407	IGHD2-2 24 0 
SRR1298742.7687	IGHD3-22 13 0 
SRR1298742.963	IGHD2-2 22 0 
SRR1298742.8742	IGHD2-2 24 0 
SRR1298742.7435	IGHD3-22 13 0 
SRR1298742.437	IGHD6-13 13 0 
SRR1298742.9312	IGHD2-2 24 0 
SRR1298742.3546	IGHD6-13 13 0 
SRR1298742.4430	IGHD2-2 24 0 
SRR1298742.743	IGHD3-22 28 2 
SRR1298742.8844	IGHD2-2 24 0 
SRR1298742.2729	IGHD6-13 13 0 
SRR1298742.3616	IGHD3-22 28 2 
SRR1298742.6084	IGHD6-13 13 0 
SRR1298742.5555	IGHD6-13 13 0 
SRR1298742.9273	IGHD6-13 13 0 
SRR1298742.5382	IGHD2-2 24 0 
SRR1298742.3084	IGHD3-22 28 2 
SRR1298742.3151	IGHD2-2 24 0 
SRR1298742.9367	IGHD6-13 13 0 
SRR1298742.59	IGHD3-22 28 2 
SRR1298742.3799	IGHD2-2 24 0 
SRR1298742.3122	IGHD2-2 24 0 
SRR1298742.9306	IGHD6-13 13 0 
SRR1298742.9256	IGHD2-2 24 0 
SRR1298742.5096	IGHD3-22 28 2 
SRR1298742.1897	IGHD6-13 13 0 
SRR1298742.2904	IGHD3-22 13 0 
SRR1298742.6348	IGHD3-22 13 0 
SRR1298742.5597	IGHD3-22 13 0 
SRR1298742.8781	IGHD2-2 24 0 
SRR1298742.344	IGHD3-22 13 0 
SRR1298742.7227	IGHD6-13 13 0 
SRR1298742.2778	IGHD3-22 13 0 
SRR1298742.587	IGHD3-22 28 2 
SRR1298742.3489	IGHD6-13 13 0 
SRR1298742.4584	IGHD3-22 13 0 
SRR1298742.6407	IGHD2-2 22 0 
SRR1298742.601	IGHD3-22 13 0 
SRR1298742.2758	IGHD2-2 24 0 
SRR1298742.116	IGHD6-13 13 0 
SRR1298742.1458	IGHD3-22 16 0 
SRR1298742.1767	IGHD6-13 13 0 
SRR1298742.5702	IGHD3-22 28 2 
SRR1298742.2486	IGHD6-13 13 0 
SRR1298742.3705	IGHD3-22 13 0 
SRR1298742.7798	IGHD2-2 24 0 
SRR1298742.4130	IGHD2-2 24 0 
SRR1298742.1188	IGHD3-22 13 0 
SRR1298742.2009	IGHD6-13 13 0 
SRR1298742.478	IGHD2-2 24 0 
SRR1298742.1759	IGHD6-13 13 0 
SRR1298742.121	IGHD3-22 13 0 
SRR1298742.5234	IGHD3-22 13 0 
SRR1298742.4361	IGHD6-13 13 0 
SRR1298742.1987	IGHD3-22 28 2 
SRR1298742.2747	IGHD6-13 13 0 
SRR1298742.8637	IGHD6-13 13 0 
SRR1298742.2862	IGHD6-13 13 0 
SRR1298742.7780	IGHD2-2 24 1 
SRR1298742.6634	IGHD2-2 24 0 
SRR1298742.3316	IGHD6-13 13 0 
SRR1298742.316	IGHD3-22 28 2 
SRR1298742.1510	IGHD3-22 28 2 
SRR1298742.4208	IGHD6-13 13 0 
SRR1298742.1108	IGHD6-13 13 0 
SRR1298742.7174	IGHD6-19 13 0 
SRR1298742.4040	IGHD2-2 24 0 
SRR1298742.8873	IGHD2-2 24 0 
SRR1298742.1475	IGHD3-22 13 0 
SRR1298742.6997	IGHD2-2 24 0 
SRR1298742.2214	IGHD6-13 13 0 
SRR1298742.7393	IGHD2-2 24 0 
SRR1298742.2719	IGHD3-22 28 2 
SRR1298742.6340	IGHD6-13 13 0 
SRR1298742.2114	IGHD3-22 28 2 
