SRR1298742.122	IGHG 27 0 
SRR1298742.3322	IGHG 27 0 
SRR1298742.3753	IGHM 113 0 
SRR1298742.3293	IGHM 113 0 
SRR1298742.4570	IGHM 113 0 
SRR1298742.5135	IGHM 113 0 
SRR1298742.5283	IGHG 27 0 
SRR1298742.4034	IGHG 27 0 
SRR1298742.1216	IGHG 29 0 
SRR1298742.6345	IGHM 113 0 
SRR1298742.5719	IGHM 113 0 
SRR1298742.4369	IGHG 27 0 
SRR1298742.7700	IGHM 113 0 
SRR1298742.2384	IGHG 29 0 
SRR1298742.6287	IGHG 27 0 
SRR1298742.4764	IGHM 113 0 
SRR1298742.2717	IGHG 27 0 
SRR1298742.1936	IGHG 27 0 
SRR1298742.1622	IGHG 29 0 
SRR1298742.3886	IGHM 113 3 
SRR1298742.3931	IGHG 29 0 
SRR1298742.2688	IGHM 113 0 
SRR1298742.2746	IGHG 22 0 
SRR1298742.1994	IGHG 27 0 
SRR1298742.8308	IGHM 113 0 
SRR1298742.5862	IGHG 29 0 
SRR1298742.4194	IGHG 27 0 
SRR1298742.5900	IGHG 27 0 
SRR1298742.6861	IGHG 27 0 
SRR1298742.207	IGHG 27 0 
SRR1298742.4340	IGHM 113 0 
SRR1298742.513	IGHG 27 0 
SRR1298742.7177	IGHG 29 0 
SRR1298742.1919	IGHG 27 0 
SRR1298742.2770	IGHG 27 0 
SRR1298742.2427	IGHG 29 0 
SRR1298742.6306	IGHM 113 1 
SRR1298742.4410	IGHG 27 0 
SRR1298742.8874	IGHM 113 0 
SRR1298742.8272	IGHM 113 1 
SRR1298742.8201	IGHM 113 0 
SRR1298742.4803	IGHM 113 0 
SRR1298742.9062	IGHM 113 0 
SRR1298742.9004	IGHG 27 0 
SRR1298742.6783	IGHG 27 0 
SRR1298742.960	IGHM 113 0 
SRR1298742.5424	IGHG 27 0 
SRR1298742.2567	IGHG 29 0 
SRR1298742.8081	IGHG 27 0 
SRR1298742.5853	IGHG 27 0 
SRR1298742.2069	IGHG 27 0 
SRR1298742.7601	IGHM 113 0 
SRR1298742.3371	IGHG 27 0 
SRR1298742.4271	IGHG 27 0 
SRR1298742.413	IGHG 27 0 
SRR1298742.8033	IGHG 27 0 
SRR1298742.159	IGHG 29 0 
SRR1298742.3391	IGHG 27 0 
SRR1298742.5836	IGHG 27 0 
SRR1298742.3188	IGHG 27 0 
SRR1298742.3967	IGHG 29 0 
SRR1298742.9259	IGHG 27 0 
SRR1298742.7487	IGHG 27 0 
SRR1298742.1204	IGHM 114 0 
SRR1298742.3373	IGHM 113 0 
SRR1298742.4128	IGHG 29 0 
SRR1298742.1044	IGHG 27 0 
SRR1298742.8491	IGHG 27 0 
SRR1298742.6006	IGHM 113 0 
SRR1298742.6432	IGHG 27 0 
SRR1298742.2908	IGHG 27 0 
SRR1298742.7719	IGHM 113 0 
SRR1298742.4514	IGHG 27 0 
SRR1298742.8003	IGHM 113 0 
SRR1298742.1431	IGHM 113 0 
SRR1298742.2183	IGHG 29 0 
SRR1298742.5301	IGHG 27 0 
SRR1298742.8505	IGHM 113 0 
SRR1298742.6917	IGHM 113 0 
SRR1298742.7127	IGHM 113 0 
SRR1298742.2504	IGHG 27 0 
SRR1298742.5455	IGHG 27 0 
SRR1298742.3860	IGHG 27 0 
SRR1298742.1094	IGHG 29 0 
SRR1298742.4969	IGHM 113 0 
SRR1298742.7559	IGHM 113 0 
SRR1298742.8978	IGHG 27 0 
SRR1298742.1843	IGHM 113 1 
SRR1298742.3668	IGHM 113 0 
SRR1298742.1001	IGHG 27 0 
SRR1298742.3810	IGHM 113 0 
SRR1298742.4356	IGHG 27 0 
SRR1298742.9250	IGHG 29 0 
SRR1298742.4937	IGHG 29 0 
SRR1298742.3344	IGHG 29 0 
SRR1298742.3345	IGHG 29 0 
SRR1298742.3060	IGHM 113 0 
SRR1298742.7430	IGHM 113 0 
SRR1298742.5167	IGHG 27 0 
SRR1298742.8025	IGHG 27 0 
SRR1298742.4336	IGHM 113 0 
SRR1298742.5648	IGHM 113 0 
SRR1298742.8391	IGHG 29 0 
SRR1298742.385	IGHG 27 0 
SRR1298742.4869	IGHG 29 0 
SRR1298742.580	IGHG 26 0 
SRR1298742.7786	IGHM 113 1 
SRR1298742.2205	IGHG 27 0 
SRR1298742.6824	IGHG 29 0 
SRR1298742.6447	IGHM 113 0 
SRR1298742.161	IGHG 27 0 
SRR1298742.3565	IGHG 27 0 
SRR1298742.2585	IGHG 29 0 
SRR1298742.4093	IGHG 27 0 
SRR1298742.4545	IGHM 113 0 
SRR1298742.9085	IGHM 113 0 
SRR1298742.3594	IGHG 29 0 
SRR1298742.7918	IGHG 27 0 
SRR1298742.3524	IGHG 26 0 
SRR1298742.9386	IGHG 29 0 
SRR1298742.3614	IGHG 27 0 
SRR1298742.7401	IGHM 113 0 
SRR1298742.6490	IGHM 113 0 
SRR1298742.8365	IGHG 27 0 
SRR1298742.212	IGHM 113 0 
SRR1298742.8450	IGHM 113 0 
SRR1298742.4456	IGHG 27 0 
SRR1298742.371	IGHG 27 0 
SRR1298742.7887	IGHG 29 0 
SRR1298742.7543	IGHM 113 0 
SRR1298742.4450	IGHM 113 0 
SRR1298742.1076	IGHG 27 0 
SRR1298742.7632	IGHG 27 0 
SRR1298742.1392	IGHG 27 0 
SRR1298742.2555	IGHG 27 0 
SRR1298742.7733	IGHM 113 0 
SRR1298742.2681	IGHM 113 0 
SRR1298742.9272	IGHG 27 0 
SRR1298742.5909	IGHG 27 0 
SRR1298742.6972	IGHG 26 0 
SRR1298742.1148	IGHG 27 0 
SRR1298742.1617	IGHG 27 0 
SRR1298742.6926	IGHM 113 0 
SRR1298742.1089	IGHM 113 0 
SRR1298742.1190	IGHM 114 0 
SRR1298742.5230	IGHM 113 0 
SRR1298742.5317	IGHM 113 0 
SRR1298742.3198	IGHG 27 0 
SRR1298742.7305	IGHG 27 0 
SRR1298742.4424	IGHG 27 0 
SRR1298742.8989	IGHM 113 1 
SRR1298742.7711	IGHG 26 0 
SRR1298742.7002	IGHM 113 0 
SRR1298742.8994	IGHM 113 0 
SRR1298742.1007	IGHG 27 0 
SRR1298742.5275	IGHG 29 0 
SRR1298742.5358	IGHG 27 0 
SRR1298742.4658	IGHG 27 0 
SRR1298742.7180	IGHG 27 0 
SRR1298742.935	IGHG 27 0 
SRR1298742.5072	IGHM 113 0 
SRR1298742.9448	IGHG 29 0 
SRR1298742.8730	IGHM 113 0 
SRR1298742.909	IGHM 113 1 
SRR1298742.6201	IGHG 27 0 
SRR1298742.3780	IGHG 29 0 
SRR1298742.8288	IGHG 27 0 
SRR1298742.6258	IGHG 27 0 
SRR1298742.7215	IGHG 29 0 
SRR1298742.3165	IGHM 113 0 
SRR1298742.5453	IGHG 27 0 
SRR1298742.6921	IGHG 27 0 
SRR1298742.6889	IGHM 113 0 
SRR1298742.9205	IGHM 113 0 
SRR1298742.4214	IGHG 29 0 
SRR1298742.911	IGHG 27 0 
SRR1298742.9185	IGHM 113 0 
SRR1298742.8445	IGHM 113 0 
SRR1298742.6628	IGHM 113 0 
SRR1298742.1325	IGHG 27 0 
SRR1298742.5525	IGHG 29 0 
SRR1298742.8849	IGHG 27 0 
SRR1298742.8189	IGHM 113 0 
SRR1298742.2987	IGHG 27 0 
SRR1298742.845	IGHG 29 0 
SRR1298742.4467	IGHM 113 1 
SRR1298742.8368	IGHG 27 0 
SRR1298742.5588	IGHG 29 0 
SRR1298742.8238	IGHG 27 0 
SRR1298742.147	IGHG 26 0 
SRR1298742.8468	IGHG 29 0 
SRR1298742.3380	IGHG 27 0 
SRR1298742.4375	IGHG 27 0 
SRR1298742.5511	IGHM 113 0 
SRR1298742.2608	IGHM 113 0 
SRR1298742.7018	IGHM 113 0 
SRR1298742.2899	IGHG 27 0 
SRR1298742.5080	IGHG 27 0 
SRR1298742.4455	IGHG 27 0 
SRR1298742.5214	IGHG 27 0 
SRR1298742.976	IGHM 113 3 
SRR1298742.1253	IGHG 29 0 
SRR1298742.6187	IGHG 27 0 
SRR1298742.466	IGHG 29 0 
SRR1298742.1492	IGHG 27 0 
SRR1298742.1224	IGHG 29 0 
SRR1298742.3	IGHG 29 0 
SRR1298742.2641	IGHM 113 0 
SRR1298742.5367	IGHG 27 0 
SRR1298742.4704	IGHG 27 0 
SRR1298742.9213	IGHM 113 0 
SRR1298742.5852	IGHG 29 0 
SRR1298742.8335	IGHG 27 0 
SRR1298742.5947	IGHG 27 0 
SRR1298742.8041	IGHG 29 0 
SRR1298742.5873	IGHG 29 0 
SRR1298742.5809	IGHG 27 0 
SRR1298742.7546	IGHG 27 0 
SRR1298742.1567	IGHG 29 0 
SRR1298742.3722	IGHM 113 0 
SRR1298742.2557	IGHM 113 0 
SRR1298742.4325	IGHG 27 0 
SRR1298742.2057	IGHM 113 0 
SRR1298742.6800	IGHG 29 0 
SRR1298742.3383	IGHG 27 0 
SRR1298742.6612	IGHG 29 0 
SRR1298742.2411	IGHM 113 1 
SRR1298742.8293	IGHG 29 0 
SRR1298742.2289	IGHM 113 0 
SRR1298742.853	IGHG 27 0 
SRR1298742.2106	IGHG 27 0 
SRR1298742.7625	IGHG 27 0 
SRR1298742.3893	IGHM 113 0 
SRR1298742.209	IGHG 27 0 
SRR1298742.9239	IGHM 113 0 
SRR1298742.348	IGHG 29 0 
SRR1298742.8942	IGHM 113 1 
SRR1298742.4763	IGHG 27 0 
SRR1298742.6256	IGHG 29 0 
SRR1298742.4874	IGHG 27 0 
SRR1298742.9408	IGHG 27 0 
SRR1298742.6111	IGHM 113 0 
SRR1298742.2076	IGHG 27 0 
SRR1298742.7047	IGHM 113 0 
SRR1298742.4880	IGHG 27 0 
SRR1298742.1	IGHG 27 0 
SRR1298742.7876	IGHG 27 0 
SRR1298742.2363	IGHM 113 0 
SRR1298742.4561	IGHM 113 0 
SRR1298742.3210	IGHG 26 0 
SRR1298742.8028	IGHG 27 0 
SRR1298742.2502	IGHG 29 0 
SRR1298742.2413	IGHG 27 0 
SRR1298742.1205	IGHM 113 0 
SRR1298742.4789	IGHG 29 0 
SRR1298742.4497	IGHG 27 0 
SRR1298742.3973	IGHG 27 0 
SRR1298742.2493	IGHG 27 0 
SRR1298742.5549	IGHG 27 0 
SRR1298742.4397	IGHM 113 0 
SRR1298742.3099	IGHG 27 0 
SRR1298742.9023	IGHM 113 0 
SRR1298742.5404	IGHG 27 0 
SRR1298742.7958	IGHG 27 0 
SRR1298742.1404	IGHM 113 0 
SRR1298742.2653	IGHG 27 0 
SRR1298742.2698	IGHM 113 3 
SRR1298742.8141	IGHG 27 0 
SRR1298742.9030	IGHG 25 0 
SRR1298742.7541	IGHG 27 0 
SRR1298742.8913	IGHG 27 0 
SRR1298742.9217	IGHG 29 0 
SRR1298742.7388	IGHG 27 0 
SRR1298742.181	IGHG 29 0 
SRR1298742.744	IGHM 113 1 
SRR1298742.868	IGHG 29 0 
SRR1298742.6327	IGHG 27 0 
SRR1298742.3176	IGHG 29 0 
SRR1298742.1351	IGHG 27 0 
SRR1298742.4747	IGHM 113 0 
SRR1298742.2843	IGHM 113 0 
SRR1298742.5847	IGHG 27 0 
SRR1298742.8405	IGHM 113 0 
SRR1298742.6038	IGHG 29 0 
SRR1298742.3751	IGHM 113 0 
SRR1298742.6024	IGHM 113 0 
SRR1298742.1262	IGHG 26 0 
SRR1298742.8319	IGHM 113 0 
SRR1298742.6638	IGHG 27 0 
SRR1298742.8416	IGHM 113 0 
SRR1298742.9029	IGHM 113 0 
SRR1298742.7226	IGHM 113 1 
SRR1298742.350	IGHM 113 3 
SRR1298742.253	IGHG 27 0 
SRR1298742.9300	IGHM 113 0 
SRR1298742.8973	IGHM 113 0 
SRR1298742.7353	IGHM 113 0 
SRR1298742.7311	IGHG 29 0 
SRR1298742.5178	IGHG 29 0 
SRR1298742.8677	IGHM 113 0 
SRR1298742.4992	IGHM 113 0 
SRR1298742.2686	IGHG 27 0 
SRR1298742.9359	IGHG 27 0 
SRR1298742.7544	IGHG 29 0 
SRR1298742.4959	IGHM 113 0 
SRR1298742.4000	IGHG 29 0 
SRR1298742.8941	IGHM 113 0 
SRR1298742.7119	IGHG 27 0 
SRR1298742.2678	IGHG 29 0 
SRR1298742.6842	IGHM 113 0 
SRR1298742.8007	IGHG 27 0 
SRR1298742.3008	IGHG 29 0 
SRR1298742.483	IGHG 27 0 
SRR1298742.1320	IGHG 27 0 
SRR1298742.1743	IGHG 27 0 
SRR1298742.7704	IGHG 27 0 
SRR1298742.5538	IGHG 29 0 
SRR1298742.2108	IGHG 29 0 
SRR1298742.1683	IGHM 113 0 
SRR1298742.1967	IGHG 29 0 
SRR1298742.2835	IGHG 27 0 
SRR1298742.4983	IGHG 29 0 
SRR1298742.1460	IGHM 113 0 
SRR1298742.5668	IGHM 113 0 
SRR1298742.1665	IGHG 27 0 
SRR1298742.3395	IGHG 27 0 
SRR1298742.7552	IGHM 113 0 
SRR1298742.865	IGHG 27 0 
SRR1298742.476	IGHG 27 0 
SRR1298742.5232	IGHM 113 0 
SRR1298742.8993	IGHM 113 0 
SRR1298742.9255	IGHM 113 0 
SRR1298742.3312	IGHM 113 0 
SRR1298742.8351	IGHG 27 0 
SRR1298742.2247	IGHG 29 0 
SRR1298742.7461	IGHM 113 0 
SRR1298742.1364	IGHG 29 0 
SRR1298742.9416	IGHG 27 0 
SRR1298742.6956	IGHG 27 0 
SRR1298742.8972	IGHM 113 0 
SRR1298742.3437	IGHM 113 0 
SRR1298742.2110	IGHG 27 0 
SRR1298742.4773	IGHG 27 0 
SRR1298742.4813	IGHM 113 0 
SRR1298742.3010	IGHG 27 0 
SRR1298742.2077	IGHG 27 0 
SRR1298742.170	IGHG 29 0 
SRR1298742.4794	IGHM 114 0 
SRR1298742.3547	IGHM 114 0 
SRR1298742.7812	IGHM 113 0 
SRR1298742.5851	IGHG 27 0 
SRR1298742.2618	IGHG 29 0 
SRR1298742.6381	IGHM 113 0 
SRR1298742.3446	IGHM 114 0 
SRR1298742.6429	IGHG 27 0 
SRR1298742.5992	IGHG 27 0 
SRR1298742.8682	IGHM 113 0 
SRR1298742.3979	IGHG 29 0 
SRR1298742.579	IGHG 27 1 
SRR1298742.1321	IGHG 29 0 
SRR1298742.3172	IGHG 29 0 
SRR1298742.6330	IGHG 27 0 
SRR1298742.4040	IGHM 113 0 
SRR1298742.6634	IGHM 113 0 
SRR1298742.6710	IGHG 29 0 
SRR1298742.1510	IGHG 29 1 
SRR1298742.3004	IGHM 113 0 
SRR1298742.6396	IGHM 113 0 
SRR1298742.7780	IGHM 113 0 
SRR1298742.3332	IGHG 27 0 
SRR1298742.7466	IGHM 113 0 
SRR1298742.4535	IGHM 113 0 
SRR1298742.6465	IGHM 113 0 
SRR1298742.6927	IGHG 29 0 
SRR1298742.6790	IGHG 29 0 
SRR1298742.3490	IGHG 29 0 
SRR1298742.3338	IGHM 113 0 
SRR1298742.3221	IGHG 27 0 
SRR1298742.771	IGHG 29 0 
SRR1298742.2093	IGHG 27 0 
SRR1298742.2114	IGHG 27 0 
SRR1298742.2194	IGHM 113 1 
SRR1298742.2719	IGHG 27 0 
SRR1298742.8183	IGHM 113 0 
SRR1298742.5702	IGHG 29 0 
SRR1298742.8675	IGHM 113 0 
SRR1298742.6720	IGHG 27 0 
SRR1298742.3015	IGHM 113 0 
SRR1298742.1289	IGHG 27 0 
SRR1298742.5126	IGHM 113 0 
SRR1298742.2747	IGHG 27 0 
SRR1298742.8298	IGHG 27 0 
SRR1298742.7875	IGHM 113 0 
SRR1298742.2815	IGHG 27 0 
SRR1298742.5357	IGHG 29 0 
SRR1298742.824	IGHG 27 0 
SRR1298742.1759	IGHG 27 0 
SRR1298742.2792	IGHG 27 0 
SRR1298742.3487	IGHG 27 0 
SRR1298742.4130	IGHM 113 0 
SRR1298742.7891	IGHM 113 0 
SRR1298742.3705	IGHG 27 0 
SRR1298742.6537	IGHG 27 0 
SRR1298742.8341	IGHG 27 0 
SRR1298742.1814	IGHG 29 0 
SRR1298742.9027	IGHM 113 0 
SRR1298742.1945	IGHM 113 0 
SRR1298742.59	IGHG 28 0 
SRR1298742.3151	IGHM 113 0 
SRR1298742.410	IGHG 27 0 
SRR1298742.2716	IGHM 113 0 
SRR1298742.2514	IGHM 113 1 
SRR1298742.2778	IGHG 29 0 
SRR1298742.2155	IGHG 27 0 
SRR1298742.8806	IGHM 113 0 
SRR1298742.7227	IGHG 27 0 
SRR1298742.7722	IGHM 113 1 
SRR1298742.9256	IGHM 113 0 
SRR1298742.5096	IGHG 27 0 
SRR1298742.1844	IGHM 114 1 
SRR1298742.9306	IGHG 29 0 
SRR1298742.6542	IGHG 27 0 
SRR1298742.3692	IGHG 27 0 
SRR1298742.4679	IGHM 113 1 
SRR1298742.326	IGHM 114 0 
SRR1298742.1048	IGHG 27 0 
SRR1298742.5147	IGHG 27 0 
SRR1298742.8844	IGHM 113 0 
SRR1298742.1704	IGHG 27 0 
SRR1298742.2729	IGHG 29 0 
SRR1298742.6980	IGHM 113 1 
SRR1298742.6711	IGHG 27 0 
SRR1298742.2603	IGHG 29 0 
SRR1298742.7884	IGHG 22 0 
SRR1298742.2700	IGHG 27 0 
SRR1298742.299	IGHG 29 0 
SRR1298742.6010	IGHG 27 0 
SRR1298742.2208	IGHG 27 0 
SRR1298742.5644	IGHG 27 0 
SRR1298742.6726	IGHM 113 0 
SRR1298742.3179	IGHM 113 0 
SRR1298742.5116	IGHM 113 0 
SRR1298742.1420	IGHG 27 0 
SRR1298742.5164	IGHG 27 0 
SRR1298742.8533	IGHM 113 0 
SRR1298742.2578	IGHG 27 0 
SRR1298742.2109	IGHG 29 0 
SRR1298742.1181	IGHG 29 0 
SRR1298742.6955	IGHG 29 0 
SRR1298742.8680	IGHM 113 0 
SRR1298742.4672	IGHG 27 0 
SRR1298742.9334	IGHM 113 0 
SRR1298742.20	IGHG 29 0 
SRR1298742.6353	IGHM 113 0 
SRR1298742.2061	IGHG 29 0 
SRR1298742.8230	IGHM 113 0 
SRR1298742.6640	IGHG 27 0 
SRR1298742.9414	IGHM 113 0 
SRR1298742.4311	IGHM 113 0 
SRR1298742.2873	IGHM 113 1 
SRR1298742.7770	IGHG 27 0 
SRR1298742.4371	IGHG 29 0 
SRR1298742.3350	IGHM 113 0 
SRR1298742.4893	IGHG 27 0 
SRR1298742.1326	IGHG 27 0 
SRR1298742.8710	IGHM 113 0 
SRR1298742.5374	IGHG 27 0 
SRR1298742.4484	IGHG 27 0 
SRR1298742.2437	IGHG 27 0 
SRR1298742.5027	IGHM 113 1 
SRR1298742.4088	IGHG 27 0 
SRR1298742.1644	IGHG 27 0 
SRR1298742.7138	IGHM 113 0 
SRR1298742.8569	IGHM 113 0 
SRR1298742.2594	IGHM 113 0 
SRR1298742.6400	IGHM 113 0 
SRR1298742.9204	IGHG 27 0 
SRR1298742.5284	IGHG 27 0 
SRR1298742.2921	IGHM 113 3 
SRR1298742.7436	IGHG 27 0 
SRR1298742.798	IGHG 29 0 
SRR1298742.6583	IGHM 113 0 
SRR1298742.3955	IGHM 113 1 
SRR1298742.1149	IGHM 113 0 
SRR1298742.3378	IGHG 28 0 
SRR1298742.8669	IGHG 27 0 
SRR1298742.1040	IGHG 27 0 
SRR1298742.8559	IGHM 113 0 
SRR1298742.3724	IGHG 27 0 
SRR1298742.5895	IGHM 113 0 
SRR1298742.7484	IGHM 113 0 
SRR1298742.2903	IGHM 113 0 
SRR1298742.2689	IGHM 113 0 
SRR1298742.5242	IGHM 113 1 
SRR1298742.7582	IGHM 113 1 
SRR1298742.7943	IGHG 27 0 
SRR1298742.8306	IGHG 29 0 
SRR1298742.1122	IGHG 27 0 
SRR1298742.2831	IGHG 29 0 
SRR1298742.1156	IGHG 27 0 
SRR1298742.5355	IGHG 27 0 
SRR1298742.9016	IGHM 113 0 
SRR1298742.3144	IGHG 27 0 
SRR1298742.3765	IGHG 27 0 
SRR1298742.6241	IGHG 29 0 
SRR1298742.5481	IGHG 27 0 
SRR1298742.7871	IGHG 27 0 
SRR1298742.2803	IGHG 29 0 
SRR1298742.4878	IGHG 26 0 
SRR1298742.5334	IGHM 113 0 
SRR1298742.3581	IGHG 27 0 
SRR1298742.3674	IGHG 27 0 
SRR1298742.4178	IGHM 113 0 
SRR1298742.4185	IGHG 27 0 
SRR1298742.2039	IGHG 28 0 
SRR1298742.5930	IGHM 113 0 
SRR1298742.1099	IGHG 29 0 
SRR1298742.9171	IGHM 113 0 
SRR1298742.3225	IGHG 27 0 
SRR1298742.3513	IGHM 113 0 
