SRR1298742.4027	IGHJ2 49 3 
SRR1298742.6420	IGHJ5 49 0 
SRR1298742.3549	IGHJ6 59 4 
SRR1298742.5326	IGHJ6 46 1 
SRR1298742.4580	IGHJ6 41 1 
SRR1298742.1554	IGHJ4 40 0 
SRR1298742.9276	IGHJ6 46 1 
SRR1298742.7639	IGHJ3 44 3 
SRR1298742.9225	IGHJ6 55 1 
SRR1298742.9446	IGHJ6 46 1 
SRR1298742.1308	IGHJ6 58 3 
SRR1298742.4503	IGHJ6 41 1 
SRR1298742.5049	IGHJ6 46 2 
SRR1298742.1380	IGHJ5 49 0 
SRR1298742.496	IGHJ3 49 0 
SRR1298742.9149	IGHJ5 49 0 
SRR1298742.9284	IGHJ5 49 0 
SRR1298742.602	IGHJ6 46 1 
SRR1298742.6065	IGHJ4 41 1 
SRR1298742.6637	IGHJ2 49 3 
SRR1298742.8333	IGHJ3 44 3 
SRR1298742.4413	IGHJ5 49 0 
SRR1298742.5376	IGHJ6 55 0 
SRR1298742.6592	IGHJ6 41 1 
SRR1298742.3759	IGHJ6 46 1 
SRR1298742.6504	IGHJ6 58 3 
SRR1298742.5854	IGHJ6 55 1 
SRR1298742.7391	IGHJ5 49 0 
SRR1298742.4312	IGHJ6 58 3 
SRR1298742.3566	IGHJ5 49 0 
SRR1298742.2545	IGHJ6 46 1 
SRR1298742.2269	IGHJ5 49 0 
SRR1298742.4741	IGHJ6 46 1 
SRR1298742.8279	IGHJ5 49 0 
SRR1298742.6000	IGHJ6 46 2 
SRR1298742.5770	IGHJ4 42 0 
SRR1298742.1418	IGHJ6 46 1 
SRR1298742.290	IGHJ6 46 1 
SRR1298742.7301	IGHJ3 44 4 
SRR1298742.2760	IGHJ6 46 1 
SRR1298742.757	IGHJ6 55 1 
SRR1298742.8861	IGHJ6 41 1 
SRR1298742.7724	IGHJ3 44 3 
SRR1298742.8698	IGHJ4 42 0 
SRR1298742.7323	IGHJ6 47 2 
SRR1298742.5490	IGHJ2 49 3 
SRR1298742.6552	IGHJ3 44 3 
SRR1298742.6932	IGHJ6 41 1 
SRR1298742.1355	IGHJ6 46 1 
SRR1298742.5030	IGHJ6 46 1 
SRR1298742.6734	IGHJ6 47 1 
SRR1298742.3269	IGHJ6 46 1 
SRR1298742.5870	IGHJ3 44 3 
SRR1298742.3321	IGHJ6 55 1 
SRR1298742.7384	IGHJ5 49 0 
SRR1298742.2298	IGHJ3 44 3 
SRR1298742.7233	IGHJ5 49 0 
SRR1298742.2651	IGHJ3 49 1 
SRR1298742.7068	IGHJ5 49 0 
SRR1298742.2369	IGHJ5 49 0 
SRR1298742.8518	IGHJ6 46 1 
SRR1298742.3493	IGHJ6 55 2 
SRR1298742.3750	IGHJ6 55 1 
SRR1298742.7895	IGHJ6 41 1 
SRR1298742.6392	IGHJ6 58 3 
SRR1298742.2705	IGHJ6 46 1 
SRR1298742.8029	IGHJ6 46 1 
SRR1298742.8360	IGHJ3 42 3 
SRR1298742.7698	IGHJ3 49 1 
SRR1298742.3222	IGHJ3 44 3 
SRR1298742.8404	IGHJ3 44 3 
SRR1298742.2353	IGHJ4 42 0 
SRR1298742.8234	IGHJ3 44 3 
SRR1298742.8856	IGHJ3 44 3 
SRR1298742.4899	IGHJ6 46 1 
SRR1298742.2707	IGHJ5 46 0 
SRR1298742.1173	IGHJ6 46 1 
SRR1298742.342	IGHJ5 49 0 
SRR1298742.4393	IGHJ3 42 3 
SRR1298742.9258	IGHJ5 49 0 
SRR1298742.3278	IGHJ4 40 1 IGHJ5 40 3 
SRR1298742.7378	IGHJ6 58 4 
SRR1298742.6312	IGHJ5 49 0 
SRR1298742.4573	IGHJ6 49 3 
SRR1298742.9415	IGHJ6 58 3 
SRR1298742.829	IGHJ6 46 1 
SRR1298742.8970	IGHJ5 49 0 
SRR1298742.7396	IGHJ6 56 5 
SRR1298742.4562	IGHJ4 42 0 
SRR1298742.8571	IGHJ5 49 1 
SRR1298742.3859	IGHJ5 49 0 
SRR1298742.9457	IGHJ3 44 3 
SRR1298742.6279	IGHJ6 46 1 
SRR1298742.5546	IGHJ4 42 0 
SRR1298742.6197	IGHJ6 55 1 
SRR1298742.5460	IGHJ5 49 0 
SRR1298742.5107	IGHJ6 46 2 
SRR1298742.230	IGHJ5 49 0 
SRR1298742.7357	IGHJ5 49 0 
SRR1298742.3297	IGHJ6 55 1 
SRR1298742.8392	IGHJ4 43 0 
SRR1298742.1694	IGHJ3 44 3 
SRR1298742.2421	IGHJ6 41 1 
SRR1298742.2745	IGHJ5 49 0 
SRR1298742.3193	IGHJ6 55 0 
SRR1298742.7469	IGHJ5 49 0 
SRR1298742.66	IGHJ6 46 1 
SRR1298742.154	IGHJ4 41 1 
SRR1298742.1288	IGHJ6 41 1 
SRR1298742.739	IGHJ5 49 0 
SRR1298742.953	IGHJ6 58 3 
SRR1298742.4258	IGHJ5 49 0 
SRR1298742.4066	IGHJ5 49 0 
SRR1298742.5478	IGHJ6 41 1 
SRR1298742.3001	IGHJ3 49 2 
SRR1298742.3710	IGHJ6 46 1 
SRR1298742.6631	IGHJ4 41 0 
SRR1298742.5607	IGHJ5 49 0 
SRR1298742.6377	IGHJ6 46 1 
SRR1298742.2072	IGHJ6 55 1 
SRR1298742.6047	IGHJ6 55 1 
SRR1298742.8435	IGHJ6 46 1 
SRR1298742.8843	IGHJ3 44 3 
SRR1298742.3659	IGHJ3 42 3 
SRR1298742.9009	IGHJ4 42 0 
SRR1298742.5312	IGHJ5 49 0 
SRR1298742.4884	IGHJ6 41 1 
SRR1298742.3021	IGHJ6 41 1 
SRR1298742.950	IGHJ6 46 2 
SRR1298742.8343	IGHJ3 44 3 
SRR1298742.7579	IGHJ5 49 0 
SRR1298742.3621	IGHJ5 45 0 
SRR1298742.8303	IGHJ6 55 1 
SRR1298742.8124	IGHJ5 49 0 
SRR1298742.2035	IGHJ6 46 1 
SRR1298742.7660	IGHJ3 49 0 
SRR1298742.2149	IGHJ5 49 0 
SRR1298742.802	IGHJ6 55 1 
SRR1298742.108	IGHJ6 46 1 
SRR1298742.8604	IGHJ5 49 0 
SRR1298742.9331	IGHJ3 49 0 
SRR1298742.2051	IGHJ3 47 1 
SRR1298742.9198	IGHJ6 46 1 
SRR1298742.7371	IGHJ4 44 4 
SRR1298742.2671	IGHJ6 46 1 
SRR1298742.2793	IGHJ5 49 0 
SRR1298742.8670	IGHJ6 55 1 
SRR1298742.5429	IGHJ5 38 2 
SRR1298742.6580	IGHJ3 44 3 
SRR1298742.8912	IGHJ6 46 1 
SRR1298742.6573	IGHJ6 46 1 
SRR1298742.557	IGHJ6 46 1 
SRR1298742.628	IGHJ5 49 1 
SRR1298742.8934	IGHJ3 49 0 
SRR1298742.3481	IGHJ5 49 0 
SRR1298742.2783	IGHJ5 49 0 
SRR1298742.9107	IGHJ3 44 3 
SRR1298742.6495	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.3044	IGHJ5 49 0 
SRR1298742.2870	IGHJ5 44 0 
SRR1298742.753	IGHJ6 46 2 
SRR1298742.2751	IGHJ6 46 1 
SRR1298742.2720	IGHJ4 44 2 
SRR1298742.5294	IGHJ6 46 1 
SRR1298742.6253	IGHJ6 58 3 
SRR1298742.7529	IGHJ3 44 3 
SRR1298742.9360	IGHJ6 41 1 
SRR1298742.8483	IGHJ6 41 1 
SRR1298742.1824	IGHJ6 46 1 
SRR1298742.1938	IGHJ6 46 1 
SRR1298742.691	IGHJ6 55 1 
SRR1298742.5192	IGHJ5 49 0 
SRR1298742.8300	IGHJ6 46 1 
SRR1298742.1449	IGHJ6 46 1 
SRR1298742.5222	IGHJ2 53 2 
SRR1298742.6295	IGHJ5 45 3 
SRR1298742.3887	IGHJ5 49 0 
SRR1298742.435	IGHJ6 56 3 
SRR1298742.7310	IGHJ6 55 1 
SRR1298742.1229	IGHJ5 45 1 
SRR1298742.8782	IGHJ6 55 1 
SRR1298742.7449	IGHJ4 44 1 
SRR1298742.3639	IGHJ6 58 3 
SRR1298742.5430	IGHJ4 40 0 
SRR1298742.3192	IGHJ6 58 3 
SRR1298742.7725	IGHJ5 49 0 
SRR1298742.1014	IGHJ6 46 1 
SRR1298742.7122	IGHJ6 41 1 
SRR1298742.4070	IGHJ6 46 1 
SRR1298742.5272	IGHJ4 42 1 
SRR1298742.695	IGHJ6 55 1 
SRR1298742.1073	IGHJ2 49 3 
SRR1298742.8747	IGHJ6 55 1 
SRR1298742.1385	IGHJ6 46 1 
SRR1298742.1700	IGHJ6 58 4 
SRR1298742.9361	IGHJ6 55 1 
SRR1298742.4885	IGHJ4 41 1 
SRR1298742.4659	IGHJ6 51 4 
SRR1298742.4522	IGHJ5 49 0 
SRR1298742.4737	IGHJ6 46 1 
SRR1298742.3074	IGHJ6 46 1 
SRR1298742.1615	IGHJ6 43 1 
SRR1298742.4742	IGHJ5 49 0 
SRR1298742.3740	IGHJ4 44 1 
SRR1298742.9371	IGHJ6 46 1 
SRR1298742.1185	IGHJ6 46 1 
SRR1298742.3956	IGHJ6 41 1 
SRR1298742.4664	IGHJ5 45 3 
SRR1298742.2080	IGHJ6 41 1 
SRR1298742.4113	IGHJ6 55 1 
SRR1298742.4179	IGHJ6 55 0 
SRR1298742.2157	IGHJ5 49 0 
SRR1298742.237	IGHJ6 41 1 
SRR1298742.3757	IGHJ4 44 1 
SRR1298742.7172	IGHJ3 40 3 
SRR1298742.6757	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.1290	IGHJ6 46 1 
SRR1298742.3568	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.7593	IGHJ5 49 0 
SRR1298742.7365	IGHJ6 55 1 
SRR1298742.1412	IGHJ3 44 3 
SRR1298742.7307	IGHJ5 49 0 
SRR1298742.4278	IGHJ3 44 3 
SRR1298742.8967	IGHJ6 49 3 
SRR1298742.6240	IGHJ6 41 1 
SRR1298742.1334	IGHJ6 58 3 
SRR1298742.7186	IGHJ6 58 3 
SRR1298742.2272	IGHJ6 55 1 
SRR1298742.6704	IGHJ6 58 3 
SRR1298742.5166	IGHJ5 49 0 
SRR1298742.7160	IGHJ5 49 1 
SRR1298742.3617	IGHJ4 44 2 
SRR1298742.6876	IGHJ5 49 0 
SRR1298742.8701	IGHJ6 46 1 
SRR1298742.7389	IGHJ6 55 0 
SRR1298742.5547	IGHJ6 55 0 
SRR1298742.2963	IGHJ5 49 0 
SRR1298742.3276	IGHJ6 46 1 
SRR1298742.902	IGHJ6 46 1 
SRR1298742.3657	IGHJ4 41 1 
SRR1298742.6042	IGHJ6 55 3 
SRR1298742.688	IGHJ5 49 0 
SRR1298742.6843	IGHJ6 55 1 
SRR1298742.3005	IGHJ6 58 3 
SRR1298742.6254	IGHJ6 46 1 
SRR1298742.5842	IGHJ6 58 3 
SRR1298742.690	IGHJ1 36 0 IGHJ4 38 1 
SRR1298742.9179	IGHJ6 41 1 
SRR1298742.840	IGHJ5 49 0 
SRR1298742.3082	IGHJ6 42 1 
SRR1298742.1150	IGHJ6 46 1 
SRR1298742.6594	IGHJ6 41 1 
SRR1298742.7294	IGHJ4 44 1 
SRR1298742.7288	IGHJ5 49 0 
SRR1298742.4796	IGHJ6 42 1 
SRR1298742.8381	IGHJ3 44 3 
SRR1298742.8107	IGHJ5 49 0 
SRR1298742.1924	IGHJ5 49 0 
SRR1298742.6944	IGHJ6 55 1 
SRR1298742.2390	IGHJ5 49 0 
SRR1298742.6929	IGHJ5 49 0 
SRR1298742.1284	IGHJ2 49 3 
SRR1298742.2263	IGHJ6 46 1 
SRR1298742.5435	IGHJ4 44 1 
SRR1298742.282	IGHJ6 46 1 
SRR1298742.8700	IGHJ4 44 3 
SRR1298742.2927	IGHJ6 41 1 
SRR1298742.3835	IGHJ5 49 0 
SRR1298742.4385	IGHJ6 55 1 
SRR1298742.4866	IGHJ5 49 0 
SRR1298742.4383	IGHJ5 49 0 
SRR1298742.1268	IGHJ6 46 1 
SRR1298742.8059	IGHJ6 58 3 
SRR1298742.7871	IGHJ6 58 3 
SRR1298742.2803	IGHJ6 46 1 
SRR1298742.3674	IGHJ6 46 1 
SRR1298742.5334	IGHJ5 49 0 
SRR1298742.3581	IGHJ6 46 1 
SRR1298742.4878	IGHJ6 58 3 
SRR1298742.4178	IGHJ5 49 0 
SRR1298742.2039	IGHJ6 46 1 
SRR1298742.4185	IGHJ6 46 1 
SRR1298742.3225	IGHJ4 41 1 
SRR1298742.9171	IGHJ6 41 1 
SRR1298742.1099	IGHJ6 55 1 
SRR1298742.5930	IGHJ3 44 3 
SRR1298742.3513	IGHJ6 41 1 
SRR1298742.7217	IGHJ6 41 1 
SRR1298742.8823	IGHJ4 44 3 
SRR1298742.3724	IGHJ6 49 3 
SRR1298742.1040	IGHJ6 58 3 
SRR1298742.8559	IGHJ3 49 0 
SRR1298742.5895	IGHJ5 49 0 
SRR1298742.7484	IGHJ4 42 0 
SRR1298742.2903	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.7582	IGHJ5 49 0 
SRR1298742.5242	IGHJ6 41 2 
SRR1298742.2689	IGHJ5 49 0 
SRR1298742.8306	IGHJ5 49 1 
SRR1298742.7943	IGHJ4 44 3 
SRR1298742.5355	IGHJ5 49 0 
SRR1298742.1156	IGHJ5 49 1 
SRR1298742.2831	IGHJ6 58 3 
SRR1298742.1122	IGHJ6 46 1 
SRR1298742.5481	IGHJ6 46 1 
SRR1298742.6241	IGHJ6 46 1 
SRR1298742.3765	IGHJ6 46 1 
SRR1298742.3144	IGHJ6 46 1 
SRR1298742.9016	IGHJ5 40 2 IGHJ4 40 3 IGHJ4 40 3 IGHJ4 40 4 
SRR1298742.5027	IGHJ4 42 0 
SRR1298742.1644	IGHJ6 58 3 
SRR1298742.4088	IGHJ6 46 1 
SRR1298742.9204	IGHJ6 46 1 
SRR1298742.2594	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.6400	IGHJ6 41 1 
SRR1298742.8569	IGHJ3 44 3 
SRR1298742.7138	IGHJ6 41 1 
SRR1298742.2921	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.5284	IGHJ6 58 4 
SRR1298742.6583	IGHJ6 41 1 
SRR1298742.3955	IGHJ6 41 1 
SRR1298742.798	IGHJ6 46 1 
SRR1298742.7436	IGHJ6 46 1 
SRR1298742.8669	IGHJ6 58 4 
SRR1298742.3378	IGHJ6 58 3 
SRR1298742.1149	IGHJ3 44 3 
SRR1298742.8680	IGHJ5 49 0 
SRR1298742.6955	IGHJ6 54 1 
SRR1298742.1181	IGHJ6 58 3 
SRR1298742.2109	IGHJ6 46 1 
SRR1298742.2578	IGHJ6 46 1 
SRR1298742.9334	IGHJ6 41 1 
SRR1298742.4672	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.6353	IGHJ5 49 0 
SRR1298742.20	IGHJ6 58 3 
SRR1298742.6640	IGHJ6 46 1 
SRR1298742.8230	IGHJ6 41 1 
SRR1298742.2061	IGHJ6 46 1 
SRR1298742.4371	IGHJ5 49 0 
SRR1298742.7770	IGHJ6 46 1 
SRR1298742.2873	IGHJ6 41 1 
SRR1298742.4311	IGHJ3 44 3 
SRR1298742.9414	IGHJ5 48 0 
SRR1298742.1326	IGHJ6 46 1 
SRR1298742.8710	IGHJ5 49 0 
SRR1298742.4893	IGHJ6 46 1 
SRR1298742.3350	IGHJ6 41 1 
SRR1298742.5374	IGHJ6 46 1 
SRR1298742.2437	IGHJ6 46 1 
SRR1298742.4484	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.2603	IGHJ5 49 0 
SRR1298742.6711	IGHJ6 57 1 
SRR1298742.299	IGHJ6 46 1 
SRR1298742.2700	IGHJ3 46 4 
SRR1298742.7884	IGHJ6 46 1 
SRR1298742.6010	IGHJ6 58 3 
SRR1298742.2208	IGHJ5 49 0 
SRR1298742.3179	IGHJ6 41 1 
SRR1298742.6726	IGHJ6 41 1 
SRR1298742.5644	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.5164	IGHJ6 58 3 
SRR1298742.1420	IGHJ6 46 1 
SRR1298742.5116	IGHJ6 41 1 
SRR1298742.8533	IGHJ5 49 0 
SRR1298742.4679	IGHJ6 41 1 
SRR1298742.3692	IGHJ5 49 0 
SRR1298742.6542	IGHJ6 46 1 
SRR1298742.5147	IGHJ6 46 1 
SRR1298742.326	IGHJ4 42 2 
SRR1298742.1048	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
