SRR1298742.2575	IGHV1-2 295 14 
SRR1298742.2231	IGHV6-1 304 0 
SRR1298742.5463	IGHV4-34 288 15 
SRR1298742.1549	IGHV1-18 291 6 
SRR1298742.3164	IGHV1-8 296 7 
SRR1298742.1942	IGHV4-34 293 15 
SRR1298742.8358	IGHV4-39 301 18 
SRR1298742.2257	IGHV1-2 292 20 
SRR1298742.7899	IGHV2-5 301 26 
SRR1298742.5562	IGHV3-74 290 13 
SRR1298742.7256	IGHV4-34 281 16 
SRR1298742.7456	IGHV1-2 292 17 
SRR1298742.1778	IGHV1-46 296 11 
SRR1298742.6074	IGHV3-49 302 0 
SRR1298742.922	IGHV1-2 292 17 
SRR1298742.4809	IGHV3-49 302 1 
SRR1298742.8296	IGHV6-1 304 0 
SRR1298742.5100	IGHV1-18 291 7 
SRR1298742.994	IGHV1-46 296 11 
SRR1298742.6885	IGHV4-34 288 15 
SRR1298742.7691	IGHV4-34 288 16 
SRR1298742.9105	IGHV3-11 294 5 
SRR1298742.7760	IGHV4-39 294 12 IGHV4-59/61 294 13 
SRR1298742.5980	IGHV1-46 296 14 
SRR1298742.2393	IGHV4-34 288 16 
SRR1298742.2280	IGHV1-8 295 8 
SRR1298742.310	IGHV1-2 292 16 
SRR1298742.3999	IGHV1-8 295 8 
SRR1298742.5246	IGHV3-49 300 0 
SRR1298742.1569	IGHV6-1 304 8 
SRR1298742.7647	IGHV1-2 292 17 
SRR1298742.5089	IGHV6-1 304 7 
SRR1298742.1280	IGHV1-2 292 16 
SRR1298742.2071	IGHV1-2 292 16 
SRR1298742.9156	IGHV3-49 76 0 
SRR1298742.719	IGHV4-34 288 16 
SRR1298742.5734	IGHV1-46 296 11 
SRR1298742.8340	IGHV1-46 296 11 
SRR1298742.2258	IGHV1-2 293 16 
SRR1298742.8135	IGHV3-49 300 0 
SRR1298742.5551	IGHV1-2 292 16 
SRR1298742.329	IGHV1-2 292 15 
SRR1298742.4230	IGHV4-34 293 13 
SRR1298742.6713	IGHV1-2 292 16 
SRR1298742.2675	IGHV1-2 292 17 
SRR1298742.3069	IGHV6-1 304 9 
SRR1298742.1479	IGHV1-2 292 19 
SRR1298742.8805	IGHV3-74 290 21 
SRR1298742.2461	IGHV4-34 288 15 
SRR1298742.9388	IGHV4-34 288 15 
SRR1298742.2780	IGHV6-1 304 0 
SRR1298742.6978	IGHV4-34 288 15 
SRR1298742.3026	IGHV1-46 296 11 
SRR1298742.9078	IGHV6-1 302 3 
SRR1298742.5313	IGHV4-34 288 15 
SRR1298742.1117	IGHV4-34 288 15 
SRR1298742.5270	IGHV1-2 292 16 
SRR1298742.1197	IGHV1-8 295 8 
SRR1298742.123	IGHV4-39 294 12 IGHV4-59/61 294 13 
SRR1298742.4394	IGHV1-2 292 15 
SRR1298742.5411	IGHV1-2 292 16 
SRR1298742.4431	IGHV1-8 295 8 
SRR1298742.1182	IGHV1-2 292 16 
SRR1298742.8754	IGHV1-2 292 16 
SRR1298742.1206	IGHV1-2 292 15 
SRR1298742.5820	IGHV1-2 292 17 
SRR1298742.4805	IGHV6-1 304 7 
SRR1298742.3744	IGHV3-30/33rn 295 21 
SRR1298742.7080	IGHV6-1 302 8 
SRR1298742.2656	IGHV6-1 304 8 
SRR1298742.1589	IGHV1-2 292 15 
SRR1298742.6661	IGHV3-74 292 21 
SRR1298742.4373	IGHV3-74 290 22 
SRR1298742.2876	IGHV1-2 292 16 
SRR1298742.7428	IGHV6-1 304 8 
SRR1298742.2574	IGHV1-46 296 12 
SRR1298742.7496	IGHV1-2 97 10 
SRR1298742.4756	IGHV6-1 304 0 
SRR1298742.9432	IGHV1-2 293 17 
SRR1298742.3881	IGHV3-49 300 1 
SRR1298742.5468	IGHV6-1 304 1 
SRR1298742.3777	IGHV3-49 300 0 
SRR1298742.7497	IGHV4-34 288 17 
SRR1298742.298	IGHV1-2 292 16 
SRR1298742.8118	IGHV3-49 303 0 
SRR1298742.1935	IGHV3-74 290 22 
SRR1298742.8694	IGHV1-2 292 17 
SRR1298742.5465	IGHV3-49 300 1 
SRR1298742.2861	IGHV6-1 304 7 
SRR1298742.6865	IGHV6-1 304 0 
SRR1298742.5103	IGHV1-8 295 8 
SRR1298742.4777	IGHV1-2 292 18 
SRR1298742.2320	IGHV4-39 299 19 
SRR1298742.1980	IGHV6-1 304 7 
SRR1298742.4448	IGHV1-2 292 16 
SRR1298742.2752	IGHV1-2 292 17 
SRR1298742.6151	IGHV3-74 290 22 
SRR1298742.5520	IGHV4-39 299 20 
SRR1298742.1039	IGHV1-18 291 6 
SRR1298742.5983	IGHV3-74 296 13 
SRR1298742.6100	IGHV1-8 295 8 
SRR1298742.2787	IGHV3-49 300 0 
SRR1298742.9355	IGHV3-74 290 21 
SRR1298742.6096	IGHV6-1 304 8 
SRR1298742.7514	IGHV6-1 304 1 
SRR1298742.4848	IGHV1-2 292 15 
SRR1298742.7504	IGHV3-74 290 22 
SRR1298742.3652	IGHV6-1 304 7 
SRR1298742.1946	IGHV1-2 295 14 
SRR1298742.8406	IGHV6-1 304 8 
SRR1298742.5935	IGHV1-2 292 16 
SRR1298742.2131	IGHV1-2 293 16 
SRR1298742.4444	IGHV3-74 290 13 
SRR1298742.6635	IGHV3-23 297 17 
SRR1298742.9208	IGHV3-49 300 0 
SRR1298742.2134	IGHV1-2 292 17 
SRR1298742.8693	IGHV3-74 290 13 
SRR1298742.8049	IGHV1-46 297 11 
SRR1298742.2295	IGHV6-1 302 7 
SRR1298742.7134	IGHV4-39 299 20 
SRR1298742.6532	IGHV4-34 290 17 
SRR1298742.5601	IGHV1-46 296 12 
SRR1298742.6687	IGHV1-46 297 12 
SRR1298742.6831	IGHV1-46 296 11 
SRR1298742.7163	IGHV1-46 296 11 
SRR1298742.5861	IGHV4-39 299 18 
SRR1298742.6910	IGHV3-74 294 15 
SRR1298742.644	IGHV6-1 304 7 
SRR1298742.7183	IGHV3-49 300 2 
SRR1298742.8567	IGHV1-2 292 16 
SRR1298742.257	IGHV6-1 304 8 
SRR1298742.9164	IGHV1-2 292 19 
SRR1298742.5661	IGHV3-49 300 0 
SRR1298742.1439	IGHV1-8 136 3 
SRR1298742.7155	IGHV1-2 292 17 
SRR1298742.2396	IGHV4-34 288 15 
SRR1298742.8058	IGHV1-2 292 16 
SRR1298742.3961	IGHV4-39 294 12 IGHV4-59/61 294 13 
SRR1298742.3793	IGHV2-5 299 27 
SRR1298742.1504	IGHV6-1 304 7 
SRR1298742.1414	IGHV1-2 293 16 
SRR1298742.1937	IGHV4-34 289 30 
SRR1298742.5888	IGHV4-30-4/31 298 23 
SRR1298742.4209	IGHV4-39 299 21 
SRR1298742.837	IGHV1-2 292 17 
SRR1298742.7302	IGHV6-1 304 8 
SRR1298742.3712	IGHV1-2 292 16 
SRR1298742.5884	IGHV6-1 305 7 
SRR1298742.3892	IGHV6-1 178 6 
SRR1298742.5191	IGHV1-46 296 12 
SRR1298742.5212	IGHV1-2 292 15 
SRR1298742.5685	IGHV2-70 296 13 
SRR1298742.1426	IGHV1-2 292 16 
SRR1298742.9376	IGHV6-1 308 0 
SRR1298742.7071	IGHV6-1 304 9 
SRR1298742.6064	IGHV1-2 290 16 
SRR1298742.2161	IGHV1-8 295 7 
SRR1298742.1271	IGHV1-46 296 12 
SRR1298742.3954	IGHV1-8 295 7 
SRR1298742.1023	IGHV4-39 299 18 
SRR1298742.7847	IGHV3-49 302 1 
SRR1298742.6191	IGHV6-1 304 7 
SRR1298742.1180	IGHV6-1 304 8 
SRR1298742.2530	IGHV4-34 288 15 
SRR1298742.2621	IGHV3-74 296 10 
SRR1298742.6309	IGHV3-49 300 0 
SRR1298742.4812	IGHV1-46 296 11 
SRR1298742.4699	IGHV6-1 304 8 
SRR1298742.8736	IGHV1-2 292 17 
SRR1298742.3094	IGHV1-2 292 16 
SRR1298742.273	IGHV4-34 293 15 
SRR1298742.2476	IGHV1-2 292 16 
SRR1298742.7673	IGHV1-2 292 17 
SRR1298742.8977	IGHV4-39 294 12 IGHV4-59/61 294 13 
SRR1298742.6164	IGHV3-74 290 22 
SRR1298742.522	IGHV4-34 287 33 
SRR1298742.3797	IGHV1-2 292 16 
SRR1298742.2294	IGHV3-74 290 21 
SRR1298742.6796	IGHV6-1 304 7 
SRR1298742.2881	IGHV3-49 300 0 
SRR1298742.7696	IGHV6-1 304 7 
SRR1298742.45	IGHV3-30/33rn 296 19 
SRR1298742.4669	IGHV2-5 296 9 
SRR1298742.6973	IGHV3-74 290 21 
SRR1298742.5370	IGHV1-8 295 7 
SRR1298742.2797	IGHV1-2 292 17 
SRR1298742.4694	IGHV1-8 295 7 
SRR1298742.2159	IGHV1-2 292 16 
SRR1298742.1950	IGHV1-46 296 11 
SRR1298742.8738	IGHV6-1 304 7 
SRR1298742.585	IGHV1-46 293 11 
SRR1298742.4152	IGHV1-2 292 16 
SRR1298742.5788	IGHV1-8 295 7 
SRR1298742.7363	IGHV6-1 304 7 
SRR1298742.8269	IGHV3-49 300 0 
SRR1298742.7395	IGHV4-34 288 15 
SRR1298742.914	IGHV2-70 296 13 
SRR1298742.6001	IGHV6-1 304 0 
SRR1298742.2103	IGHV1-2 292 17 
SRR1298742.4464	IGHV1-46 296 11 
SRR1298742.5190	IGHV4-34 288 15 
SRR1298742.7819	IGHV4-59/61 298 14 
SRR1298742.2819	IGHV3-74 290 21 
SRR1298742.2606	IGHV1-46 296 11 
SRR1298742.9087	IGHV6-1 304 8 
SRR1298742.5340	IGHV1-8 295 7 
SRR1298742.5686	IGHV1-2 292 17 
SRR1298742.2639	IGHV1-8 295 16 
SRR1298742.7179	IGHV1-46 297 12 
SRR1298742.6772	IGHV3-49 300 1 
SRR1298742.1596	IGHV1-46 296 11 
SRR1298742.1710	IGHV1-46 296 35 
SRR1298742.3703	IGHV1-2 292 16 
SRR1298742.5522	IGHV4-34 287 33 
SRR1298742.5495	IGHV1-2 292 16 
SRR1298742.8031	IGHV4-34 288 16 
SRR1298742.7283	IGHV1-2 292 16 
SRR1298742.292	IGHV4-34 288 15 
SRR1298742.4415	IGHV1-2 292 16 
SRR1298742.5142	IGHV3-49 300 2 
SRR1298742.9230	IGHV3-74 296 13 
SRR1298742.8795	IGHV1-2 292 16 
SRR1298742.1165	IGHV1-46 296 11 
SRR1298742.4345	IGHV6-1 304 7 
SRR1298742.5458	IGHV3-49 300 0 
SRR1298742.843	IGHV1-18 291 6 
SRR1298742.4159	IGHV4-34 288 16 
SRR1298742.8051	IGHV1-2 292 15 
SRR1298742.3132	IGHV4-39 299 20 
SRR1298742.2496	IGHV6-1 304 0 
SRR1298742.5610	IGHV4-34 288 16 
SRR1298742.1082	IGHV1-8 295 7 
SRR1298742.436	IGHV4-59/61 291 11 
SRR1298742.1819	IGHV1-8 295 8 
SRR1298742.311	IGHV1-2 292 16 
SRR1298742.1267	IGHV4-34 288 15 
SRR1298742.4154	IGHV1-2 293 18 
SRR1298742.7476	IGHV6-1 304 7 
SRR1298742.2691	IGHV1-8 295 7 
SRR1298742.1619	IGHV1-2 292 17 
SRR1298742.6914	IGHV1-18 291 6 
SRR1298742.2984	IGHV1-8 295 8 
SRR1298742.7714	IGHV4-39 294 13 IGHV4-59/61 294 14 
SRR1298742.4422	IGHV3-74 290 21 
SRR1298742.4114	IGHV4-34 293 16 
SRR1298742.4483	IGHV6-1 304 7 
SRR1298742.4709	IGHV1-18 291 6 
SRR1298742.6428	IGHV1-18 296 3 
SRR1298742.776	IGHV1-2 292 16 
SRR1298742.402	IGHV1-46 296 11 
SRR1298742.6491	IGHV4-34 288 22 
SRR1298742.1080	IGHV1-2 292 16 
SRR1298742.3185	IGHV1-2 292 16 
SRR1298742.7370	IGHV3-49 304 1 
SRR1298742.6174	IGHV3-74 290 21 
SRR1298742.3240	IGHV3-49 300 0 
SRR1298742.219	IGHV1-46 296 14 
SRR1298742.1568	IGHV1-46 296 11 
SRR1298742.897	IGHV1-18 291 7 
SRR1298742.9391	IGHV3-74 291 22 
SRR1298742.2259	IGHV1-2 292 17 
SRR1298742.3239	IGHV6-1 302 8 
SRR1298742.2178	IGHV4-39 299 20 
SRR1298742.4987	IGHV4-39 299 18 
SRR1298742.5323	IGHV6-1 302 8 
SRR1298742.1940	IGHV1-2 292 16 
SRR1298742.375	IGHV3-9 298 29 
SRR1298742.6854	IGHV1-2 292 17 
SRR1298742.4389	IGHV1-8 295 6 
SRR1298742.7707	IGHV6-1 304 9 
SRR1298742.4324	IGHV6-1 304 8 
SRR1298742.8685	IGHV4-59/61 113 4 
SRR1298742.3149	IGHV6-1 304 8 
SRR1298742.7473	IGHV6-1 304 0 
SRR1298742.530	IGHV1-2 292 16 
SRR1298742.3486	IGHV3-49 300 1 
SRR1298742.7162	IGHV1-2 292 19 
SRR1298742.2060	IGHV4-34 288 22 
SRR1298742.2308	IGHV6-1 304 7 
SRR1298742.637	IGHV1-46 296 11 
SRR1298742.5533	IGHV4-34 290 28 
SRR1298742.3937	IGHV1-46 296 12 
SRR1298742.8327	IGHV1-2 292 16 
SRR1298742.119	IGHV1-2 292 17 
SRR1298742.2947	IGHV6-1 304 7 
SRR1298742.6364	IGHV3-74 291 21 
SRR1298742.4437	IGHV3-49 300 0 
SRR1298742.2942	IGHV1-46 297 11 
SRR1298742.5094	IGHV3-74 287 14 
SRR1298742.6563	IGHV2-5 295 10 
SRR1298742.8082	IGHV3-49 303 1 
SRR1298742.8448	IGHV1-2 292 15 
SRR1298742.7224	IGHV1-46 296 11 
SRR1298742.7116	IGHV6-1 304 7 
SRR1298742.1726	IGHV1-8 295 7 
SRR1298742.6930	IGHV6-1 245 7 
SRR1298742.3140	IGHV6-1 303 8 
SRR1298742.9059	IGHV6-1 305 0 
SRR1298742.7415	IGHV3-49 300 0 
SRR1298742.2659	IGHV4-39 299 19 
SRR1298742.6571	IGHV1-46 296 11 
SRR1298742.531	IGHV4-34 288 15 
SRR1298742.7471	IGHV1-2 293 16 
SRR1298742.5491	IGHV1-2 292 16 
SRR1298742.7944	IGHV1-2 292 17 
SRR1298742.8906	IGHV4-39 299 18 
SRR1298742.2706	IGHV1-46 296 11 
SRR1298742.5220	IGHV1-46 298 11 
SRR1298742.5782	IGHV1-2 292 16 
SRR1298742.6683	IGHV6-1 304 7 
SRR1298742.7868	IGHV1-46 296 11 
SRR1298742.6882	IGHV6-1 304 8 
SRR1298742.3714	IGHV1-2 292 16 
SRR1298742.7463	IGHV1-18 291 4 
SRR1298742.4074	IGHV1-8 293 7 
SRR1298742.2395	IGHV1-2 292 16 
SRR1298742.906	IGHV3-74 296 13 
SRR1298742.8449	IGHV1-2 292 15 
SRR1298742.7606	IGHV6-1 304 8 
SRR1298742.8437	IGHV1-8 295 9 
SRR1298742.4982	IGHV1-8 296 8 
SRR1298742.8703	IGHV1-46 296 12 
SRR1298742.6990	IGHV3-74 290 13 
SRR1298742.2096	IGHV1-2 292 17 
SRR1298742.1559	IGHV1-2 292 16 
SRR1298742.8585	IGHV6-1 305 7 
SRR1298742.5005	IGHV1-8 295 7 
SRR1298742.1441	IGHV1-2 292 19 
SRR1298742.6110	IGHV1-2 292 16 
SRR1298742.8672	IGHV3-74 291 22 
SRR1298742.5881	IGHV1-2 292 16 
SRR1298742.6722	IGHV6-1 304 8 
SRR1298742.7648	IGHV3-74 296 10 
SRR1298742.512	IGHV4-34 284 15 
SRR1298742.3864	IGHV1-2 292 18 
SRR1298742.8661	IGHV4-30-2 297 32 
SRR1298742.7754	IGHV4-34 288 15 
SRR1298742.8213	IGHV1-8 295 9 
SRR1298742.2684	IGHV1-2 292 17 
SRR1298742.6814	IGHV3-74 290 22 
SRR1298742.6316	IGHV6-1 304 7 
SRR1298742.5350	IGHV6-1 305 7 
SRR1298742.358	IGHV1-2 292 18 
SRR1298742.2261	IGHV1-8 295 7 
SRR1298742.8490	IGHV3-74 290 21 
SRR1298742.3398	IGHV1-2 292 17 
SRR1298742.1547	IGHV1-2 292 16 
SRR1298742.9224	IGHV6-1 298 8 
SRR1298742.5821	IGHV4-34 290 27 
SRR1298742.243	IGHV1-2 292 16 
SRR1298742.5848	IGHV1-46 296 11 
SRR1298742.1522	IGHV1-8 295 8 
SRR1298742.8129	IGHV1-2 292 18 
SRR1298742.2703	IGHV1-2 292 18 
SRR1298742.3879	IGHV1-8 295 7 
SRR1298742.3981	IGHV1-2 292 16 
SRR1298742.5590	IGHV2-70 296 14 
SRR1298742.8324	IGHV1-2 292 16 
SRR1298742.2838	IGHV4-34 287 33 
SRR1298742.429	IGHV3-74 290 21 
SRR1298742.3530	IGHV4-34 290 28 
SRR1298742.2810	IGHV6-1 300 7 
SRR1298742.7209	IGHV4-39 299 20 
SRR1298742.6217	IGHV6-1 305 4 
SRR1298742.3392	IGHV6-1 304 8 
SRR1298742.5815	IGHV1-2 292 16 
SRR1298742.3251	IGHV1-2 292 17 
SRR1298742.7151	IGHV1-46 296 13 
SRR1298742.6648	IGHV3-49 301 1 
SRR1298742.2495	IGHV1-8 295 7 
SRR1298742.2970	IGHV1-8 295 8 
SRR1298742.286	IGHV4-34 288 15 
SRR1298742.5324	IGHV3-49 300 1 
SRR1298742.785	IGHV1-2 292 16 
SRR1298742.606	IGHV6-1 304 7 
SRR1298742.4117	IGHV4-34 288 16 
SRR1298742.7111	IGHV3-74 292 13 
SRR1298742.1408	IGHV6-1 304 0 
SRR1298742.3449	IGHV4-39 300 17 
SRR1298742.5920	IGHV1-2 292 16 
SRR1298742.3610	IGHV4-34 288 15 
SRR1298742.3907	IGHV1-2 293 16 
SRR1298742.5757	IGHV4-34 287 35 
SRR1298742.4360	IGHV1-2 292 16 
SRR1298742.5927	IGHV4-34 290 29 
SRR1298742.7973	IGHV3-74 296 11 
SRR1298742.4902	IGHV6-1 304 7 
SRR1298742.1664	IGHV1-2 292 18 
SRR1298742.1776	IGHV3-74 290 21 
SRR1298742.5739	IGHV3-74 290 21 
SRR1298742.6391	IGHV6-1 304 0 
SRR1298742.7971	IGHV1-2 292 16 
SRR1298742.355	IGHV4-34 288 15 
SRR1298742.6133	IGHV1-2 292 16 
SRR1298742.1806	IGHV4-34 288 15 
SRR1298742.7676	IGHV3-74 290 21 
SRR1298742.4718	IGHV6-1 304 1 
SRR1298742.1947	IGHV1-8 295 7 
SRR1298742.5814	IGHV1-8 295 7 
SRR1298742.4711	IGHV1-2 292 17 
SRR1298742.7157	IGHV1-46 296 12 
SRR1298742.4187	IGHV1-8 295 7 
SRR1298742.2900	IGHV6-1 304 7 
SRR1298742.1497	IGHV4-34 288 16 
SRR1298742.7526	IGHV1-8 295 8 
SRR1298742.2540	IGHV4-34 293 14 
SRR1298742.3615	IGHV1-8 295 7 
SRR1298742.8143	IGHV3-49 297 0 
SRR1298742.3875	IGHV6-1 302 11 
SRR1298742.464	IGHV4-34 288 16 
SRR1298742.287	IGHV1-2 295 14 
SRR1298742.8503	IGHV1-2 293 16 
SRR1298742.4469	IGHV1-2 292 16 
SRR1298742.4080	IGHV6-1 304 7 
SRR1298742.1573	IGHV1-8 295 7 
SRR1298742.444	IGHV1-46 295 18 
SRR1298742.7059	IGHV1-46 296 11 
SRR1298742.6615	IGHV4-39 299 19 
SRR1298742.3911	IGHV1-2 292 17 
SRR1298742.2886	IGHV1-2 292 16 
SRR1298742.9436	IGHV1-8 295 9 
SRR1298742.1045	IGHV1-2 292 16 
SRR1298742.9223	IGHV6-1 302 11 
SRR1298742.4326	IGHV6-1 304 7 
SRR1298742.8613	IGHV1-8 295 9 
SRR1298742.5830	IGHV3-49 300 0 
SRR1298742.4681	IGHV1-2 292 16 
SRR1298742.4552	IGHV6-1 302 5 
SRR1298742.7753	IGHV1-46 296 12 
SRR1298742.2302	IGHV4-34 288 15 
SRR1298742.711	IGHV4-30-4/31 298 22 
SRR1298742.490	IGHV1-2 292 17 
SRR1298742.5082	IGHV3-74 290 21 
SRR1298742.6235	IGHV4-59/61 298 14 
SRR1298742.1807	IGHV1-2 292 16 
SRR1298742.4268	IGHV3-7 296 11 
SRR1298742.4481	IGHV6-1 302 8 
SRR1298742.5141	IGHV1-2 292 17 
SRR1298742.7692	IGHV3-49 300 0 
SRR1298742.1217	IGHV6-1 304 8 
SRR1298742.6113	IGHV3-49 300 0 
SRR1298742.3928	IGHV1-46 296 12 
SRR1298742.4530	IGHV3-74 290 21 
SRR1298742.2481	IGHV3-74 291 21 
SRR1298742.7025	IGHV6-1 304 8 
SRR1298742.6820	IGHV1-8 295 10 
SRR1298742.8469	IGHV6-1 305 8 
SRR1298742.5499	IGHV6-1 305 7 
SRR1298742.775	IGHV4-34 288 15 
SRR1298742.3245	IGHV1-8 295 7 
SRR1298742.7197	IGHV6-1 302 9 
SRR1298742.7826	IGHV3-49 301 0 
SRR1298742.4539	IGHV1-2 292 16 
SRR1298742.2339	IGHV6-1 302 8 
SRR1298742.9324	IGHV1-46 296 11 
SRR1298742.9380	IGHV1-2 292 16 
SRR1298742.8520	IGHV6-1 304 7 
SRR1298742.6205	IGHV6-1 304 1 
SRR1298742.9102	IGHV6-1 304 0 
SRR1298742.8516	IGHV1-46 296 11 
SRR1298742.7340	IGHV3-49 301 0 
SRR1298742.7888	IGHV1-8 293 8 
SRR1298742.42	IGHV4-34 293 15 
SRR1298742.3204	IGHV1-2 292 16 
SRR1298742.2512	IGHV4-30-2 297 33 
SRR1298742.7839	IGHV3-49 300 1 
SRR1298742.6310	IGHV4-34 287 33 
SRR1298742.3706	IGHV1-46 296 12 
SRR1298742.420	IGHV4-34 288 15 
SRR1298742.3166	IGHV4-34 288 16 
SRR1298742.6129	IGHV1-2 292 16 
SRR1298742.5832	IGHV3-74 296 12 
SRR1298742.6514	IGHV3-49 301 0 
SRR1298742.4976	IGHV1-2 292 16 
SRR1298742.7066	IGHV3-49 301 1 
SRR1298742.2634	IGHV1-2 292 16 
SRR1298742.5422	IGHV1-2 292 16 
SRR1298742.7721	IGHV1-18 291 6 
SRR1298742.5779	IGHV1-2 292 16 
SRR1298742.7405	IGHV3-74 290 21 
SRR1298742.1906	IGHV6-1 302 7 
SRR1298742.8474	IGHV6-1 305 1 
SRR1298742.2763	IGHV4-34 288 15 
SRR1298742.1332	IGHV1-2 292 17 
SRR1298742.6424	IGHV1-46 296 11 
SRR1298742.9153	IGHV3-74 290 20 
SRR1298742.5976	IGHV3-74 290 21 
SRR1298742.3738	IGHV6-1 304 7 
SRR1298742.8464	IGHV3-49 301 0 
SRR1298742.4617	IGHV6-1 304 1 
SRR1298742.3386	IGHV1-8 295 7 
SRR1298742.75	IGHV1-2 292 17 
SRR1298742.3721	IGHV1-8 295 8 
SRR1298742.685	IGHV3-49 300 0 
SRR1298742.9410	IGHV4-34 288 15 
SRR1298742.6798	IGHV3-30/33rn 295 19 
SRR1298742.3785	IGHV1-2 292 16 
SRR1298742.3381	IGHV1-2 292 15 
SRR1298742.3064	IGHV4-34 288 16 
SRR1298742.9082	IGHV4-34 290 28 
SRR1298742.372	IGHV1-8 296 8 
SRR1298742.3436	IGHV1-8 296 7 
SRR1298742.9310	IGHV1-2 292 16 
SRR1298742.8011	IGHV3-49 300 0 
SRR1298742.7300	IGHV1-46 296 11 
SRR1298742.2644	IGHV1-2 292 16 
SRR1298742.4850	IGHV3-49 301 1 
SRR1298742.7617	IGHV1-2 292 17 
SRR1298742.6385	IGHV3-30/33rn 295 19 
SRR1298742.8617	IGHV1-8 295 8 
SRR1298742.71	IGHV4-39 294 14 IGHV4-59/61 294 15 
SRR1298742.8706	IGHV1-2 292 17 
SRR1298742.1651	IGHV4-34 288 17 
SRR1298742.6083	IGHV1-46 296 11 
SRR1298742.769	IGHV1-2 292 16 
SRR1298742.3917	IGHV4-39 299 19 
SRR1298742.6938	IGHV6-1 304 8 
SRR1298742.2357	IGHV1-46 296 12 
SRR1298742.9442	IGHV1-2 292 16 
SRR1298742.4009	IGHV6-1 304 7 
SRR1298742.1178	IGHV4-34 287 33 
SRR1298742.2715	IGHV1-2 292 16 
SRR1298742.4163	IGHV1-2 292 17 
SRR1298742.49	IGHV1-46 296 10 
SRR1298742.6774	IGHV3-9 289 19 
SRR1298742.9138	IGHV6-1 302 9 
SRR1298742.1488	IGHV3-74 294 15 
SRR1298742.9063	IGHV1-2 292 16 
SRR1298742.8865	IGHV3-49 300 1 
SRR1298742.7781	IGHV1-2 295 2 
SRR1298742.9290	IGHV3-74 290 21 
SRR1298742.2442	IGHV3-74 294 12 
